Identity	Bloc	Trt	Wound	Strain	Initial_Mass	Initial_Number	2	4	7	9	11	14	16	18	2	4	7	9	11	14	16	18
27-Gre5ConSer-B5	B5	Con	Ser	Gre	5719	10	6239	6715	7254	8584	9032	9779	10003	10203	10	10	10	10	9	9	9	9
1-Ita6ConNon-B6	B6	Con	Non	Ita	5393	10	5570	6348	8407	8960	9578	13527	13890	13695	10	10	10	10	10	10	10	10
2-Gre6ConNon-B6	B6	Con	Non	Gre	5681	10	7281	8950	9077	10640	11659	14589	14517	14104	10	10	10	10	10	10	10	10
3-Can6ConNon-B6	B6	Con	Non	Can	4153	10	4319	5913	6265	6590	7211	10737	10345	10123	9	9	9	9	9	9	9	9
4-Ita6BacSer-B6	B6	Bac	Ser	Ita	3525	10	3264	3411	3929	3558	3784	4848	4940	5103	9	8	8	7	7	7	7	7
5-Gre6BacSer-B6	B6	Bac	Ser	Gre	5185	10	5724	6606	6273	7632	8812	10063	10649	10703	10	10	9	9	9	9	9	9
6-Can6BacSer-B6	B6	Bac	Ser	Can	4739	10	5395	6161	6263	6342	6987	9020	9286	8987	10	10	9	9	9	8	8	8
7-Can6ConSte-B6	B6	Con	Ste	Can	4678	10	5435	6182	6025	6335	7053	9171	8708	8622	10	10	9	9	9	9	9	9
8-Ita6ConSte-B6	B6	Con	Ste	Ita	4954	9	6941	8255	8569	8851	9425	11096	10454	10375	10	10	10	9	9	9	8	8
9-Gre6ConSte-B6	B6	Con	Ste	Gre	4329	10	5274	6093	7008	7432	7818	10449	11289	11110	10	10	10	10	10	10	10	10
10-Can6BacSte-B6	B6	Bac	Ste	Can	4267	10	4366	4724	6369	6494	6789	9590	9777	9649	10	10	10	10	10	10	10	10
11-Ita6BacSte-B6	B6	Bac	Ste	Ita	4783	10	5038	4713	3521	4646	4977	5786	6296	6446	10	9	6	6	6	6	6	6
12-Gre6BacSte-B6	B6	Bac	Ste	Gre	6499	10	7833	9615	10583	11194	12273	15378	14792	14187	10	10	10	10	10	10	9	9
13-Ita6LevSer-B6	B6	Lev	Ser	Ita	5595	10	6828	8100	7915	9211	10544	11359	11022	10884	10	10	10	10	10	9	9	9
14-Gre6LevSer-B6	B6	Lev	Ser	Gre	6048	10	6113	7224	7155	8400	9089	10672	10409	10419	10	9	9	9	9	9	9	9
15-Can6LevSer-B6	B6	Lev	Ser	Can	4747	10	5165	5517	5872	6774	7492	8789	8687	8776	10	9	9	9	9	9	8	8
16-Can6BacNon-B6	B6	Bac	Non	Can	5000	10	5652	6886	7975	8344	9358	12361	12385	12250	10	10	10	10	10	10	10	10
