Souche	Rep	Bloc	Traitement 	Piq	6	7	8	9	10	11	12	13	14	15	16	17
Italie	ItaPSte	6	P	Ste	10	10	10	9	8	3	1	0	0	0	0	0
Grèce	GrePSte	6	P	Ste	10	10	10	10	8	5	1	0	0	0	0	0
Italie	ItaCSte	6	C	Ste	10	10	10	8	5	3	1	1	1	1	1	0
Canada	CanCSte	6	C	Ste	10	10	10	10	8	6	3	3	2	0	0	0
Grèce	GreCSte	6	C	Ste	10	10	10	10	9	7	3	1	0	0	0	0
Grèce	GrePBact	6	P	Bact	10	10	10	9	8	6	1	0	0	0	0	0
Italie	ItaPBact	6	P	Bact	10	10	10	10	5	1	0	0	0	0	0	0
Canada	CanPBact	6	P	Bact	10	10	10	9	9	6	3	2	2	1	0	0
Italie	ItaDSte	6	D	Ste	10	10	10	9	7	4	1	1	0	0	0	0
Grèce	GreDSte	6	D	Ste	10	10	10	10	6	3	2	0	0	0	0	0
Canada	CanDSte	6	D	Ste	10	10	10	10	10	4	3	1	0	0	0	0
Canada	CanDBact	6	D	Bact	10	10	10	9	9	4	0	0	0	0	0	0
Grèce	GreDBact	6	D	Bact	10	10	10	9	7	4	0	0	0	0	0	0
Italie	ItaDBact	6	D	Bact	10	10	10	7	4	0	0	0	0	0	0	0
Grèce	GreCBact	6	C	Bact	10	10	10	9	9	6	1	1	0	0	0	0
Italie	ItaCBact	6	C	Bact	10	10	10	9	8	2	0	0	0	0	0	0
Canada	CanCBact	6	C	Bact	10	10	10	10	10	6	2	1	1	0	0	0
Italie	ItaESte	6	E	Ste	10	10	10	10	8	6	2	1	1	1	1	1
Grèce	GreESte	6	E	Ste	10	10	10	9	10	10	4	3	2	2	1	1
Canada	CanESte	6	E	Ste	10	10	10	10	9	10	10	9	6	5	3	2
Italie	ItaPSte	7	P	Ste	10	10	10	8	6	1	1	0	0	0	0	0
Grèce	GrePSte	7	P	Ste	10	10	10	10	7	5	5	2	1	1	0	0
Canada	CanPSte	7	P	Ste	10	10	10	10	9	8	5	3	1	1	1	1
Grèce	GreDSte	7	D	Ste	10	10	10	10	6	5	2	1	1	0	0	0
Italie	ItaDSte	7	D	Ste	10	10	10	7	1	1	1	0	0	0	0	0
Canada	CanDSte	7	D	Ste	10	10	10	9	9	6	3	0	0	0	0	0
Grèce	GreCBact	7	C	Bact	10	10	10	9	7	3	1	1	1	1	1	1
Canada	CanCBact	7	C	Bact	10	10	10	9	8	6	5	3	2	2	2	0
Italie	ItaCBact	7	C	Bact	10	10	10	10	5	1	0	0	0	0	0	0
Grèce	GreCSte	7	C	Ste	10	10	10	10	8	5	3	2	1	0	0	0
Italie	ItaCSte	7	C	Ste	10	10	10	9	6	2	2	2	1	1	1	0
Canada	CanCSte	7	C	Ste	10	10	10	8	9	5	5	3	0	0	0	0
Canada	CanEBact	7	E	Bact	10	10	10	10	10	9	8	6	5	5	4	2
Grèce	GreEBact	7	E	Bact	10	10	10	10	10	10	9	8	7	3	2	1
Italie	ItaEBact	7	E	Bact	10	10	10	10	9	6	4	2	2	0	0	0
Canada	CanDBact	7	D	Bact	10	10	10	9	9	6	5	2	1	1	1	1
Italie	ItaDBact	7	D	Bact	10	10	10	9	5	1	0	0	0	0	0	0
Grèce	GreDBact	7	D	Bact	10	10	10	9	7	1	0	0	0	0	0	0
Grèce	GrePBact	7	P	Bact	10	10	10	9	9	6	2	0	0	0	0	0
Canada	CanPBact	7	P	Bact	10	10	10	9	10	6	4	2	1	0	0	0
Italie	ItaPBact	7	P	Bact	10	10	10	10	9	4	1	0	0	0	0	0
Canada	CanESte	7	E	Ste	10	10	10	10	9	9	7	5	3	2	2	2
Italie	ItaESte	7	E	Ste	10	10	10	10	10	8	6	5	3	2	2	2
Grèce	GreESte	7	E	Ste	10	10	10	10	10	9	5	4	3	0	0	0
Grèce	GreEBact	8	E	Bact	10	10	10	10	10	10	7	4	1	0	0	0
Italie	ItaEBact	8	E	Bact	10	10	10	10	9	7	3	2	2	1	0	0
Canada	CanEBact	8	E	Bact	10	10	10	10	10	9	8	8	5	3	2	2
Italie	ItaPBact	8	P	Bact	10	10	10	8	4	2	0	0	0	0	0	0
Canada	CanPBact	8	P	Bact	10	10	10	10	10	7	3	1	0	0	0	0
Grèce	GrePBact	8	P	Bact	10	10	10	10	10	4	3	0	0	0	0	0
Italie	ItaDBact	8	D	Bact	10	10	10	8	6	3	1	1	1	1	0	0
Grèce	GreDBact	8	D	Bact	10	10	10	10	7	2	0	0	0	0	0	0
Canada	CanDBact	8	D	Bact	10	10	10	10	8	5	2	2	2	1	1	1
Italie	ItaDSte	8	D	Ste	10	10	10	9	8	3	3	2	1	1	1	1
Canada	CanDSte	8	D	Ste	10	10	10	10	10	5	4	1	0	0	0	0
