Colonie	Nombre	Incubateur	Bloc	Traitement	Piqure	code_names	randomized_vector
Canada	10	Aléatoire	B8	Bactocell	Serratia	Can8BacSer	10
Grèce	10	Aléatoire	B8	Bactocell	Serratia	Gre8BacSer	11
Italie	10	Aléatoire	B8	Bactocell	Serratia	Ita8BacSer	12
Canada	10	Aléatoire	B8	Contrôle	Serratia	Can8ConSer	13
Grèce	10	Aléatoire	B8	Contrôle	Serratia	Gre8ConSer	14
Italie	10	Aléatoire	B8	Contrôle	Serratia	Ita8ConSer	15
Canada	10	Aléatoire	B8	Levucell	Serratia	Can8LevSer	16
Grèce	10	Aléatoire	B8	Levucell	Serratia	Gre8LevSer	17
Italie	10	Aléatoire	B8	Levucell	Serratia	Ita8LevSer	18
Canada	10	Aléatoire	B8	Bactocell	Stérile	Can8BacSte	19
Grèce	10	Aléatoire	B8	Bactocell	Stérile	Gre8BacSte	20
Italie	10	Aléatoire	B8	Bactocell	Stérile	Ita8BacSte	21
Canada	10	Aléatoire	B8	Contrôle	Stérile	Can8ConSte	22
Grèce	10	Aléatoire	B8	Contrôle	Stérile	Gre8ConSte	23
Italie	10	Aléatoire	B8	Contrôle	Stérile	Ita8ConSte	24
Canada	10	Aléatoire	B8	Levucell	Stérile	Can8LevSte	25
Grèce	10	Aléatoire	B8	Levucell	Stérile	Gre8LevSte	26
Italie	10	Aléatoire	B8	Levucell	Stérile	Ita8LevSte	27
Canada	10	Aléatoire	B9	Bactocell	Non	Can9BacNon	1
Grèce	10	Aléatoire	B9	Bactocell	Non	Gre9BacNon	2
Italie	10	Aléatoire	B9	Bactocell	Non	Ita9BacNon	3
Canada	10	Aléatoire	B9	Contrôle	Non	Can9ConNon	4
Grèce	10	Aléatoire	B9	Contrôle	Non	Gre9ConNon	5
Italie	10	Aléatoire	B9	Contrôle	Non	Ita9ConNon	6
Canada	10	Aléatoire	B9	Levucell	Non	Can9LevNon	7
Grèce	10	Aléatoire	B9	Levucell	Non	Gre9LevNon	8
Italie	10	Aléatoire	B9	Levucell	Non	Ita9LevNon	9
Canada	10	Aléatoire	B9	Bactocell	Serratia	Can9BacSer	10
Grèce	10	Aléatoire	B9	Bactocell	Serratia	Gre9BacSer	11
Italie	10	Aléatoire	B9	Bactocell	Serratia	Ita9BacSer	12
Canada	10	Aléatoire	B9	Contrôle	Serratia	Can9ConSer	13
Grèce	10	Aléatoire	B9	Contrôle	Serratia	Gre9ConSer	14
Italie	10	Aléatoire	B9	Contrôle	Serratia	Ita9ConSer	15
Canada	10	Aléatoire	B9	Levucell	Serratia	Can9LevSer	16
Grèce	10	Aléatoire	B9	Levucell	Serratia	Gre9LevSer	17
Italie	10	Aléatoire	B9	Levucell	Serratia	Ita9LevSer	18
Canada	10	Aléatoire	B9	Bactocell	Stérile	Can9BacSte	19
Grèce	10	Aléatoire	B9	Bactocell	Stérile	Gre9BacSte	20
Italie	10	Aléatoire	B9	Bactocell	Stérile	Ita9BacSte	21
Canada	10	Aléatoire	B9	Contrôle	Stérile	Can9ConSte	22
Grèce	10	Aléatoire	B9	Contrôle	Stérile	Gre9ConSte	23
Italie	10	Aléatoire	B9	Contrôle	Stérile	Ita9ConSte	24
Canada	10	Aléatoire	B9	Levucell	Stérile	Can9LevSte	25
Grèce	10	Aléatoire	B9	Levucell	Stérile	Gre9LevSte	26
Italie	10	Aléatoire	B9	Levucell	Stérile	Ita9LevSte	27
Canada	10	Aléatoire	B10	Bactocell	Non	Can10BacNon	1
Grèce	10	Aléatoire	B10	Bactocell	Non	Gre10BacNon	2
Italie	10	Aléatoire	B10	Bactocell	Non	Ita10BacNon	3
Canada	10	Aléatoire	B10	Contrôle	Non	Can10ConNon	4
Grèce	10	Aléatoire	B10	Contrôle	Non	Gre10ConNon	5
Italie	10	Aléatoire	B10	Contrôle	Non	Ita10ConNon	6
Canada	10	Aléatoire	B10	Levucell	Non	Can10LevNon	7
Grèce	10	Aléatoire	B10	Levucell	Non	Gre10LevNon	8
Italie	10	Aléatoire	B10	Levucell	Non	Ita10LevNon	9
Canada	10	Aléatoire	B10	Bactocell	Serratia	Can10BacSer	10
Grèce	10	Aléatoire	B10	Bactocell	Serratia	Gre10BacSer	11
Italie	10	Aléatoire	B10	Bactocell	Serratia	Ita10BacSer	12
Canada	10	Aléatoire	B10	Contrôle	Serratia	Can10ConSer	13
Grèce	10	Aléatoire	B10	Contrôle	Serratia	Gre10ConSer	14
Italie	10	Aléatoire	B10	Contrôle	Serratia	Ita10ConSer	15
Canada	10	Aléatoire	B10	Levucell	Serratia	Can10LevSer	16
Grèce	10	Aléatoire	B10	Levucell	Serratia	Gre10LevSer	17
Italie	10	Aléatoire	B10	Levucell	Serratia	Ita10LevSer	18
Canada	10	Aléatoire	B10	Bactocell	Stérile	Can10BacSte	19
Grèce	10	Aléatoire	B10	Bactocell	Stérile	Gre10BacSte	20
Italie	10	Aléatoire	B10	Bactocell	Stérile	Ita10BacSte	21
Canada	10	Aléatoire	B10	Contrôle	Stérile	Can10ConSte	22
Grèce	10	Aléatoire	B10	Contrôle	Stérile	Gre10ConSte	23
Italie	10	Aléatoire	B10	Contrôle	Stérile	Ita10ConSte	24
Canada	10	Aléatoire	B10	Levucell	Stérile	Can10LevSte	25
Grèce	10	Aléatoire	B10	Levucell	Stérile	Gre10LevSte	26
Italie	10	Aléatoire	B10	Levucell	Stérile	Ita10LevSte	27
