Souche	Rep	Bloc	Traitement 	Piq	6	7	8	9	10	11	12	13	14	15	16	17
Canada	CanEBact	5	E	Bact	3782	4796	6677	7643	10315	9736	9161	7987	4227	4353	4203	3166
Grèce	GreEBact	5	E	Bact	4295	6324	7725	9361	11835	9090	8263	5713	2597	1107	NA	NA
Canada	CanDSte	5	D	Ste	NA	4412	7379	9280	12708	9761	6946	3915	1349	1263	NA	NA
Italie	ItaDSte	5	D	Ste	NA	4683	8545	10585	11829	2715	1301	NA	NA	NA	NA	NA
Grèce	GreDSte	5	D	Ste	3917	7011	9869	10801	14097	6000	1464	NA	NA	NA	NA	NA
Canada	CanPBact	5	P	Bact	2937	5059	7755	10011	13737	13479	11160	8501	5462	2285	2131	2284
Italie	ItaPBact	5	P	Bact	4228	7095	9759	8812	8822	7469	NA	NA	NA	NA	NA	NA
Grèce	GrePBact	5	P	Bact	3772	7073	10267	11355	10636	3335	NA	NA	NA	NA	NA	NA
Italie	ItaPSte	5	P	Ste	4183	7085	11170	8460	10643	3193	NA	NA	NA	NA	NA	NA
Canada	CanPSte	5	P	Ste	4056	6065	9017	8000	10509	7806	4003	4221	1415	1625	1541	1592
Grèce	GrePSte	5	P	Ste	3487	6486	9163	11186	12652	2690	NA	NA	NA	NA	NA	NA
Italie	ItaESte	5	E	Ste	3531	4921	7358	9072	10680	5856	5613	6495	4135	1342	1390	1429
Grèce	GreESte	5	E	Ste	3340	5017	6871	8308	10841	9266	8022	5373	5483	3362	1785	1858
Canada	CanESte	5	E	Ste	3147	4335	6173	7329	9472	10130	8703	9560	5560	2167	1115	1092
Italie	ItaDBact	5	D	Bact	2986	4957	7481	10105	8690	NA	NA	NA	NA	NA	NA	NA
Canada	CanDBact	5	D	Bact	3828	5627	8029	11045	13520	6030	4663	2817	NA	NA	NA	NA
Grèce	GreDBact	5	D	Bact	3414	6978	9707	7707	9121	2992	NA	NA	NA	NA	NA	NA
Italie	ItaCBact	5	C	Bact	4278	7881	10747	10678	4188	1624	NA	NA	NA	NA	NA	NA
Grèce	GreCBact	5	C	Bact	3173	5576	8281	9101	10407	7279	1627	1707	1860	1805	NA	NA
Canada	CanCBact	5	C	Bact	3150	5505	7759	6510	10379	9829	1417	NA	NA	NA	NA	NA
Italie	ItaEBact	6	E	Bact	3323	5069	6419	8300	8962	9285	4275	3064	2924	1556	1453	NA
Grèce	GreEBact	6	E	Bact	2561	4056	5627	7091	9839	10144	9395	5691	4510	4717	3424	2041
Canada	CanEBact	6	E	Bact	3556	4981	6491	8062	8591	7834	7580	5661	5520	5744	5956	4612
Canada	CanPSte	6	P	Ste	3209	6215	8281	11245	12339	10256	3027	NA	NA	NA	NA	NA
Italie	ItaPSte	6	P	Ste	3338	6313	9178	11608	12063	4366	1749	NA	NA	NA	NA	NA
Grèce	GrePSte	6	P	Ste	3759	7700	9596	12920	12164	7941	1795	NA	NA	NA	NA	NA
Italie	ItaCSte	6	C	Ste	3831	6759	9170	8504	6369	3703	1072	1111	1339	1442	1342	NA
Canada	CanCSte	6	C	Ste	3033	5413	7530	9750	9587	8010	4120	4672	3125	NA	NA	NA
Grèce	GreCSte	6	C	Ste	3448	6572	8058	9835	11318	9863	3693	1289	NA	NA	NA	NA
Grèce	GrePBact	6	P	Bact	2723	5646	8263	10411	12630	8940	1690	NA	NA	NA	NA	NA
Italie	ItaPBact	6	P	Bact	4225	7377	10254	12896	7461	1598	NA	NA	NA	NA	NA	NA
Canada	CanPBact	6	P	Bact	3550	6169	8817	9279	11906	7868	4265	3050	3196	1571	NA	NA
Italie	ItaDSte	6	D	Ste	3409	7020	9302	10220	10314	5364	1435	1461	NA	NA	NA	NA
Grèce	GreDSte	6	D	Ste	3378	6870	9580	12315	8237	4739	2948	NA	NA	NA	NA	NA
Canada	CanDSte	6	D	Ste	3883	6818	8740	11067	13227	5388	4061	1466	NA	NA	NA	NA
Canada	CanDBact	6	D	Bact	3873	6911	9715	10447	12898	6288	NA	NA	NA	NA	NA	NA
Grèce	GreDBact	6	D	Bact	3355	6390	9242	9645	9893	6138	NA	NA	NA	NA	NA	NA
Italie	ItaDBact	6	D	Bact	4699	8626	11138	9494	6360	NA	NA	NA	NA	NA	NA	NA
Grèce	GreCBact	6	C	Bact	3768	6575	8715	10285	12224	8903	1472	1410	NA	NA	NA	NA
Italie	ItaCBact	6	C	Bact	3668	6645	9329	10628	11124	3321	NA	NA	NA	NA	NA	NA
Canada	CanCBact	6	C	Bact	3322	6038	8306	10464	12350	8414	3018	1847	1896	NA	NA	NA
Italie	ItaESte	6	E	Ste	4544	6336	8064	9431	9132	7461	2145	952	956	1097	1131	1058
Grèce	GreESte	6	E	Ste	3837	5818	7286	8025	11355	12349	5161	3545	2469	2483	1150	1158
Canada	CanESte	6	E	Ste	2551	3994	5581	6847	8826	10420	11481	10049	6712	5260	3221	2238
Italie	ItaPSte	7	P	Ste	4019	6189	11371	10612	8596	1645	1601	NA	NA	1556	NA	NA
Grèce	GrePSte	7	P	Ste	3072	5244	9631	10937	10100	7052	7416	2983	1625	NA	NA	NA
Canada	CanPSte	7	P	Ste	2978	5081	8229	9779	10843	10790	6847	4119	1361	1314	1469	1339
Grèce	GreDSte	7	D	Ste	2919	6130	10734	11388	9180	8444	3980	1913	1860	NA	NA	NA
Italie	ItaDSte	7	D	Ste	4182	7434	12629	8986	1381	1509	1576	NA	NA	NA	NA	NA
Canada	CanDSte	7	D	Ste	2786	5041	8612	9268	11519	9153	4581	NA	NA	NA	NA	NA
Grèce	GreCBact	7	C	Bact	3454	5971	3541	9517	10018	4144	1381	1348	1442	1384	1446	1338
Canada	CanCBact	7	C	Bact	3463	6398	9724	9421	10869	8884	7793	5034	3301	3226	3398	NA
Italie	ItaCBact	7	C	Bact	3408	5793	10619	12314	7097	1607	NA	NA	NA	NA	NA	NA
