Rep,Bloc,Trt,Strain,Time,Mass,Number,Mean,Survival,Biomass
EspB7,B7,B,Esp,10,3719,8,464.875,8,3719
EspB7,B7,B,Esp,11,3784,8,473,8,3784
EspB7,B7,B,Esp,12,4194,8,524.25,8,4194
EspB7,B7,B,Esp,13,4238,8,529.75,8,4238
EspB7,B7,B,Esp,14,4431,8,553.875,8,4431
EspB7,B7,B,Esp,2,2916,9,324,9,2916
EspB7,B7,B,Esp,3,2817,8,352.125,8,2817
EspB7,B7,B,Esp,4,2896,8,362,8,2896
EspB7,B7,B,Esp,5,3165,8,395.625,8,3165
EspB7,B7,B,Esp,6,3168,8,396,8,3168
EspB7,B7,B,Esp,7,3533,8,441.625,8,3533
EspB7,B7,B,Esp,8,3694,8,461.75,8,3694
EspB7,B7,B,Esp,9,3525,8,440.625,8,3525
EspB8,B8,B,Esp,0,2547,10,254.7,10,2547
EspB8,B8,B,Esp,1,2542,8,317.75,8,2542
EspB8,B8,B,Esp,10,2148,3,716,3,2148
EspB8,B8,B,Esp,11,2391,3,797,3,2391
EspB8,B8,B,Esp,12,2354,3,784.6666666666666,3,2354
EspB8,B8,B,Esp,13,2481,3,827,3,2481
EspB8,B8,B,Esp,14,2562,3,854,3,2562
EspB8,B8,B,Esp,2,2614,7,373.42857142857144,7,2614
EspB8,B8,B,Esp,3,2707,7,386.7142857142857,7,2707
EspB8,B8,B,Esp,4,2750,7,392.85714285714283,7,2750
EspB8,B8,B,Esp,5,2921,7,417.2857142857143,7,2921
EspB8,B8,B,Esp,6,2762,6,460.3333333333333,6,2762
EspB8,B8,B,Esp,7,2890,6,481.6666666666667,6,2890
EspB8,B8,B,Esp,8,2984,6,497.3333333333333,6,2984
EspB8,B8,B,Esp,9,2589,5,517.8,5,2589
EspB9,B9,B,Esp,0,2347,10,234.7,10,2347
EspB9,B9,B,Esp,1,1803,6,300.5,6,1803
EspB9,B9,B,Esp,10,2319,5,463.8,5,2319
EspB9,B9,B,Esp,11,1845,4,461.25,4,1845
EspB9,B9,B,Esp,12,1579,3,526.3333333333334,3,1579
EspB9,B9,B,Esp,13,1554,3,518,3,1554
EspB9,B9,B,Esp,14,1527,3,509,3,1527
EspB9,B9,B,Esp,2,1925,6,320.8333333333333,6,1925
EspB9,B9,B,Esp,3,2027,6,337.8333333333333,6,2027
EspB9,B9,B,Esp,4,1938,5,387.6,5,1938
EspB9,B9,B,Esp,5,1970,5,394,5,1970
EspB9,B9,B,Esp,6,2107,5,421.4,5,2107
EspB9,B9,B,Esp,7,2066,5,413.2,5,2066
EspB9,B9,B,Esp,8,2273,5,454.6,5,2273
EspB9,B9,B,Esp,9,2335,5,467,5,2335
EspC1,B1,C,Esp,0,2079,10,207.9,10,2079
EspC1,B1,C,Esp,1,2188,10,218.8,10,2188
EspC1,B1,C,Esp,10,4540,10,454,10,4540
