Identity,Bloc,Trt,Wound,Strain,Initial_Mass,Initial_Number,Initial_Mean,group,Time,Growth_Acc,Times
11-Ita10ConNon-B10,B10,Con,Non,Ita,4921,10,492.1,Non Con,14,732.6,14
11-Ita10ConNon-B10,B10,Con,Non,Ita,4921,10,492.1,Non Con,16,806.1,16
11-Ita10ConNon-B10,B10,Con,Non,Ita,4921,10,492.1,Non Con,18,851.6,18
11-Ita10ConNon-B10,B10,Con,Non,Ita,4921,10,492.1,Non Con,2,87.79999999999995,2
11-Ita10ConNon-B10,B10,Con,Non,Ita,4921,10,492.1,Non Con,4,176.39999999999998,4
11-Ita10ConNon-B10,B10,Con,Non,Ita,4921,10,492.1,Non Con,7,299.4,7
11-Ita10ConNon-B10,B10,Con,Non,Ita,4921,10,492.1,Non Con,9,502.69999999999993,9
11-Ita1ConNon-B1,B1,Con,Non,Ita,5374,10,537.4,Non Con,11,418.80000000000007,11
11-Ita1ConNon-B1,B1,Con,Non,Ita,5374,10,537.4,Non Con,14,700.0000000000001,14
11-Ita1ConNon-B1,B1,Con,Non,Ita,5374,10,537.4,Non Con,16,684.4,16
11-Ita1ConNon-B1,B1,Con,Non,Ita,5374,10,537.4,Non Con,18,652.2666666666668,18
11-Ita1ConNon-B1,B1,Con,Non,Ita,5374,10,537.4,Non Con,2,56.80000000000007,2
11-Ita1ConNon-B1,B1,Con,Non,Ita,5374,10,537.4,Non Con,4,86.70000000000005,4
11-Ita1ConNon-B1,B1,Con,Non,Ita,5374,10,537.4,Non Con,7,195.10000000000002,7
11-Ita1ConNon-B1,B1,Con,Non,Ita,5374,10,537.4,Non Con,9,298.6,9
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,4595,10,459.5,Ser Bac,11,347.07142857142856,11
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,4595,10,459.5,Ser Bac,14,446.21428571428567,14
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,4595,10,459.5,Ser Bac,16,543.3333333333334,16
