Identity,Bloc,Trt,Wound,Strain,group,Time,Mort_Acc,Times
22-Can1BacSer-B1,B1,Bac,Ser,Can,Can Ser,7,1,7
22-Can1BacSer-B1,B1,Bac,Ser,Can,Can Ser,9,1,9
22-Can1BacSer-B1,B1,Bac,Ser,Can,Can Ser,11,1,11
22-Can1BacSer-B1,B1,Bac,Ser,Can,Can Ser,14,1,14
22-Can1BacSer-B1,B1,Bac,Ser,Can,Can Ser,16,1,16
22-Can1BacSer-B1,B1,Bac,Ser,Can,Can Ser,18,1,18
23-Gre1BacSer-B1,B1,Bac,Ser,Gre,Gre Ser,0,0,0
23-Gre1BacSer-B1,B1,Bac,Ser,Gre,Gre Ser,2,0,2
23-Gre1BacSer-B1,B1,Bac,Ser,Gre,Gre Ser,4,0,4
23-Gre1BacSer-B1,B1,Bac,Ser,Gre,Gre Ser,7,0,7
23-Gre1BacSer-B1,B1,Bac,Ser,Gre,Gre Ser,9,0,9
23-Gre1BacSer-B1,B1,Bac,Ser,Gre,Gre Ser,11,0,11
23-Gre1BacSer-B1,B1,Bac,Ser,Gre,Gre Ser,14,0,14
23-Gre1BacSer-B1,B1,Bac,Ser,Gre,Gre Ser,16,0,16
23-Gre1BacSer-B1,B1,Bac,Ser,Gre,Gre Ser,18,0,18
24-Ita1BacSer-B1,B1,Bac,Ser,Ita,Ita Ser,0,0,0
24-Ita1BacSer-B1,B1,Bac,Ser,Ita,Ita Ser,2,1,2
24-Ita1BacSer-B1,B1,Bac,Ser,Ita,Ita Ser,4,1,4
24-Ita1BacSer-B1,B1,Bac,Ser,Ita,Ita Ser,7,1,7
24-Ita1BacSer-B1,B1,Bac,Ser,Ita,Ita Ser,9,1,9
24-Ita1BacSer-B1,B1,Bac,Ser,Ita,Ita Ser,11,1,11
24-Ita1BacSer-B1,B1,Bac,Ser,Ita,Ita Ser,14,1,14
24-Ita1BacSer-B1,B1,Bac,Ser,Ita,Ita Ser,16,1,16
24-Ita1BacSer-B1,B1,Bac,Ser,Ita,Ita Ser,18,1,18
25-Can1BacNon-B1,B1,Bac,Non,Can,Can Non,0,0,0
25-Can1BacNon-B1,B1,Bac,Non,Can,Can Non,2,0,2
25-Can1BacNon-B1,B1,Bac,Non,Can,Can Non,4,0,4
25-Can1BacNon-B1,B1,Bac,Non,Can,Can Non,7,0,7
25-Can1BacNon-B1,B1,Bac,Non,Can,Can Non,9,0,9
25-Can1BacNon-B1,B1,Bac,Non,Can,Can Non,11,0,11
25-Can1BacNon-B1,B1,Bac,Non,Can,Can Non,14,0,14
25-Can1BacNon-B1,B1,Bac,Non,Can,Can Non,16,0,16
25-Can1BacNon-B1,B1,Bac,Non,Can,Can Non,18,0,18
26-Gre1BacNon-B1,B1,Bac,Non,Gre,Gre Non,0,0,0
26-Gre1BacNon-B1,B1,Bac,Non,Gre,Gre Non,2,0,2
26-Gre1BacNon-B1,B1,Bac,Non,Gre,Gre Non,4,0,4
26-Gre1BacNon-B1,B1,Bac,Non,Gre,Gre Non,7,0,7
26-Gre1BacNon-B1,B1,Bac,Non,Gre,Gre Non,9,0,9
26-Gre1BacNon-B1,B1,Bac,Non,Gre,Gre Non,11,0,11
26-Gre1BacNon-B1,B1,Bac,Non,Gre,Gre Non,14,0,14
26-Gre1BacNon-B1,B1,Bac,Non,Gre,Gre Non,16,0,16
26-Gre1BacNon-B1,B1,Bac,Non,Gre,Gre Non,18,0,18
27-Ita1BacNon-B1,B1,Bac,Non,Ita,Ita Non,0,0,0
27-Ita1BacNon-B1,B1,Bac,Non,Ita,Ita Non,2,0,2
27-Ita1BacNon-B1,B1,Bac,Non,Ita,Ita Non,4,0,4
27-Ita1BacNon-B1,B1,Bac,Non,Ita,Ita Non,7,0,7
27-Ita1BacNon-B1,B1,Bac,Non,Ita,Ita Non,9,0,9
27-Ita1BacNon-B1,B1,Bac,Non,Ita,Ita Non,11,0,11
27-Ita1BacNon-B1,B1,Bac,Non,Ita,Ita Non,14,0,14
27-Ita1BacNon-B1,B1,Bac,Non,Ita,Ita Non,16,0,16
27-Ita1BacNon-B1,B1,Bac,Non,Ita,Ita Non,18,0,18
1-Gre2ConNon-B2,B2,Con,Non,Gre,Gre Non,0,0,0
1-Gre2ConNon-B2,B2,Con,Non,Gre,Gre Non,2,0,2
1-Gre2ConNon-B2,B2,Con,Non,Gre,Gre Non,4,0,4
1-Gre2ConNon-B2,B2,Con,Non,Gre,Gre Non,7,0,7
1-Gre2ConNon-B2,B2,Con,Non,Gre,Gre Non,9,0,9
1-Gre2ConNon-B2,B2,Con,Non,Gre,Gre Non,11,0,11
1-Gre2ConNon-B2,B2,Con,Non,Gre,Gre Non,14,0,14
1-Gre2ConNon-B2,B2,Con,Non,Gre,Gre Non,16,0,16
1-Gre2ConNon-B2,B2,Con,Non,Gre,Gre Non,18,0,18
2-Ita2ConNon-B2,B2,Con,Non,Ita,Ita Non,0,0,0
2-Ita2ConNon-B2,B2,Con,Non,Ita,Ita Non,2,0,2
2-Ita2ConNon-B2,B2,Con,Non,Ita,Ita Non,4,0,4
2-Ita2ConNon-B2,B2,Con,Non,Ita,Ita Non,7,0,7
2-Ita2ConNon-B2,B2,Con,Non,Ita,Ita Non,9,0,9
2-Ita2ConNon-B2,B2,Con,Non,Ita,Ita Non,11,0,11
2-Ita2ConNon-B2,B2,Con,Non,Ita,Ita Non,14,0,14
2-Ita2ConNon-B2,B2,Con,Non,Ita,Ita Non,16,0,16
2-Ita2ConNon-B2,B2,Con,Non,Ita,Ita Non,18,0,18
3-Can2ConNon-B2,B2,Con,Non,Can,Can Non,0,0,0
3-Can2ConNon-B2,B2,Con,Non,Can,Can Non,2,0,2
3-Can2ConNon-B2,B2,Con,Non,Can,Can Non,4,0,4
3-Can2ConNon-B2,B2,Con,Non,Can,Can Non,7,0,7
3-Can2ConNon-B2,B2,Con,Non,Can,Can Non,9,0,9
3-Can2ConNon-B2,B2,Con,Non,Can,Can Non,11,0,11
3-Can2ConNon-B2,B2,Con,Non,Can,Can Non,14,0,14
3-Can2ConNon-B2,B2,Con,Non,Can,Can Non,16,0,16
3-Can2ConNon-B2,B2,Con,Non,Can,Can Non,18,0,18
4-Ita2LevNon-B2,B2,Lev,Non,Ita,Ita Non,0,0,0
4-Ita2LevNon-B2,B2,Lev,Non,Ita,Ita Non,2,0,2
4-Ita2LevNon-B2,B2,Lev,Non,Ita,Ita Non,4,0,4
4-Ita2LevNon-B2,B2,Lev,Non,Ita,Ita Non,7,0,7
4-Ita2LevNon-B2,B2,Lev,Non,Ita,Ita Non,9,0,9
4-Ita2LevNon-B2,B2,Lev,Non,Ita,Ita Non,11,0,11
4-Ita2LevNon-B2,B2,Lev,Non,Ita,Ita Non,14,1,14
4-Ita2LevNon-B2,B2,Lev,Non,Ita,Ita Non,16,1,16
4-Ita2LevNon-B2,B2,Lev,Non,Ita,Ita Non,18,0,18
5-Can2LevNon-B2,B2,Lev,Non,Can,Can Non,0,0,0
5-Can2LevNon-B2,B2,Lev,Non,Can,Can Non,2,0,2
5-Can2LevNon-B2,B2,Lev,Non,Can,Can Non,4,0,4
5-Can2LevNon-B2,B2,Lev,Non,Can,Can Non,7,0,7
5-Can2LevNon-B2,B2,Lev,Non,Can,Can Non,9,0,9
5-Can2LevNon-B2,B2,Lev,Non,Can,Can Non,11,0,11
5-Can2LevNon-B2,B2,Lev,Non,Can,Can Non,14,0,14
5-Can2LevNon-B2,B2,Lev,Non,Can,Can Non,16,0,16
5-Can2LevNon-B2,B2,Lev,Non,Can,Can Non,18,0,18
6-Gre2LevNon-B2,B2,Lev,Non,Gre,Gre Non,0,0,0
6-Gre2LevNon-B2,B2,Lev,Non,Gre,Gre Non,2,0,2
6-Gre2LevNon-B2,B2,Lev,Non,Gre,Gre Non,4,0,4
6-Gre2LevNon-B2,B2,Lev,Non,Gre,Gre Non,7,0,7
6-Gre2LevNon-B2,B2,Lev,Non,Gre,Gre Non,9,0,9
6-Gre2LevNon-B2,B2,Lev,Non,Gre,Gre Non,11,0,11
6-Gre2LevNon-B2,B2,Lev,Non,Gre,Gre Non,14,0,14
6-Gre2LevNon-B2,B2,Lev,Non,Gre,Gre Non,16,0,16
6-Gre2LevNon-B2,B2,Lev,Non,Gre,Gre Non,18,0,18
7-Can2BacSte-B2,B2,Bac,Ste,Can,Can Ste,0,0,0
7-Can2BacSte-B2,B2,Bac,Ste,Can,Can Ste,2,0,2
7-Can2BacSte-B2,B2,Bac,Ste,Can,Can Ste,4,1,4
7-Can2BacSte-B2,B2,Bac,Ste,Can,Can Ste,7,1,7
7-Can2BacSte-B2,B2,Bac,Ste,Can,Can Ste,9,1,9
7-Can2BacSte-B2,B2,Bac,Ste,Can,Can Ste,11,1,11
7-Can2BacSte-B2,B2,Bac,Ste,Can,Can Ste,14,1,14
7-Can2BacSte-B2,B2,Bac,Ste,Can,Can Ste,16,1,16
7-Can2BacSte-B2,B2,Bac,Ste,Can,Can Ste,18,1,18
8-Gre2BacSte-B2,B2,Bac,Ste,Gre,Gre Ste,0,0,0
8-Gre2BacSte-B2,B2,Bac,Ste,Gre,Gre Ste,2,0,2
8-Gre2BacSte-B2,B2,Bac,Ste,Gre,Gre Ste,4,0,4
8-Gre2BacSte-B2,B2,Bac,Ste,Gre,Gre Ste,7,0,7
8-Gre2BacSte-B2,B2,Bac,Ste,Gre,Gre Ste,9,0,9
8-Gre2BacSte-B2,B2,Bac,Ste,Gre,Gre Ste,11,0,11
8-Gre2BacSte-B2,B2,Bac,Ste,Gre,Gre Ste,14,1,14
8-Gre2BacSte-B2,B2,Bac,Ste,Gre,Gre Ste,16,1,16
8-Gre2BacSte-B2,B2,Bac,Ste,Gre,Gre Ste,18,1,18
9-Ita2BacSte-B2,B2,Bac,Ste,Ita,Ita Ste,0,0,0
9-Ita2BacSte-B2,B2,Bac,Ste,Ita,Ita Ste,2,0,2
9-Ita2BacSte-B2,B2,Bac,Ste,Ita,Ita Ste,4,0,4
9-Ita2BacSte-B2,B2,Bac,Ste,Ita,Ita Ste,7,0,7
9-Ita2BacSte-B2,B2,Bac,Ste,Ita,Ita Ste,9,1,9
9-Ita2BacSte-B2,B2,Bac,Ste,Ita,Ita Ste,11,1,11
9-Ita2BacSte-B2,B2,Bac,Ste,Ita,Ita Ste,14,1,14
9-Ita2BacSte-B2,B2,Bac,Ste,Ita,Ita Ste,16,1,16
9-Ita2BacSte-B2,B2,Bac,Ste,Ita,Ita Ste,18,1,18
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,Gre Ser,0,0,0
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,Gre Ser,2,0,2
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,Gre Ser,4,0,4
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,Gre Ser,7,0,7
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,Gre Ser,9,1,9
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,Gre Ser,11,1,11
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,Gre Ser,14,1,14
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,Gre Ser,16,1,16
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,Gre Ser,18,0,18
11-Can2LevSer-B2,B2,Lev,Ser,Can,Can Ser,0,0,0
11-Can2LevSer-B2,B2,Lev,Ser,Can,Can Ser,2,1,2
11-Can2LevSer-B2,B2,Lev,Ser,Can,Can Ser,4,2,4
11-Can2LevSer-B2,B2,Lev,Ser,Can,Can Ser,7,2,7
11-Can2LevSer-B2,B2,Lev,Ser,Can,Can Ser,9,2,9
11-Can2LevSer-B2,B2,Lev,Ser,Can,Can Ser,11,2,11
11-Can2LevSer-B2,B2,Lev,Ser,Can,Can Ser,14,2,14
11-Can2LevSer-B2,B2,Lev,Ser,Can,Can Ser,16,2,16
11-Can2LevSer-B2,B2,Lev,Ser,Can,Can Ser,18,2,18
12-Ita2LevSer-B2,B2,Lev,Ser,Ita,Ita Ser,0,0,0
12-Ita2LevSer-B2,B2,Lev,Ser,Ita,Ita Ser,2,0,2
12-Ita2LevSer-B2,B2,Lev,Ser,Ita,Ita Ser,4,0,4
12-Ita2LevSer-B2,B2,Lev,Ser,Ita,Ita Ser,7,0,7
12-Ita2LevSer-B2,B2,Lev,Ser,Ita,Ita Ser,9,1,9
