Identity,Bloc,Trt,Wound,Strain,Initial_Mass,Initial_Number,Initial_Mean,group,Time,Growth_Rate,Times
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,5161,10,516.1,Ste Lev,7,24.23333333333331,7
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,5161,10,516.1,Ste Lev,9,36.900000000000034,9
10-Ita9BacNon-B9,B9,Bac,Non,Ita,5245,10,524.5,Non Bac,11,43.80000000000001,11
10-Ita9BacNon-B9,B9,Bac,Non,Ita,5245,10,524.5,Non Bac,14,69.83333333333337,14
10-Ita9BacNon-B9,B9,Bac,Non,Ita,5245,10,524.5,Non Bac,16,14.688888888888869,16
10-Ita9BacNon-B9,B9,Bac,Non,Ita,5245,10,524.5,Non Bac,18,11.777777777777715,18
10-Ita9BacNon-B9,B9,Bac,Non,Ita,5245,10,524.5,Non Bac,2,15.666666666666666,2
10-Ita9BacNon-B9,B9,Bac,Non,Ita,5245,10,524.5,Non Bac,4,51.19999999999999,4
10-Ita9BacNon-B9,B9,Bac,Non,Ita,5245,10,524.5,Non Bac,7,39.03333333333334,7
10-Ita9BacNon-B9,B9,Bac,Non,Ita,5245,10,524.5,Non Bac,9,60.64999999999998,9
11-Can2LevSer-B2,B2,Lev,Ser,Can,5956,10,595.6,Ser Lev,11,48.3125,11
11-Can2LevSer-B2,B2,Lev,Ser,Can,5956,10,595.6,Ser Lev,14,28.541666666666668,14
11-Can2LevSer-B2,B2,Lev,Ser,Can,5956,10,595.6,Ser Lev,16,18.098214285714334,16
11-Can2LevSer-B2,B2,Lev,Ser,Can,5956,10,595.6,Ser Lev,18,-8.71428571428578,18
11-Can2LevSer-B2,B2,Lev,Ser,Can,5956,10,595.6,Ser Lev,2,27.059259259259267,2
11-Can2LevSer-B2,B2,Lev,Ser,Can,5956,10,595.6,Ser Lev,4,70.48611111111109,4
11-Can2LevSer-B2,B2,Lev,Ser,Can,5956,10,595.6,Ser Lev,7,28.5,7
11-Can2LevSer-B2,B2,Lev,Ser,Can,5956,10,595.6,Ser Lev,9,41.9375,9
11-Can7LevSte-B7,B7,Lev,Ste,Can,4407,10,440.7,Ste Lev,11,20.100000000000023,11
11-Can7LevSte-B7,B7,Lev,Ste,Can,4407,10,440.7,Ste Lev,14,72.26666666666665,14
11-Can7LevSte-B7,B7,Lev,Ste,Can,4407,10,440.7,Ste Lev,16,23.149999999999977,16
11-Can7LevSte-B7,B7,Lev,Ste,Can,4407,10,440.7,Ste Lev,18,-6.649999999999977,18
11-Can7LevSte-B7,B7,Lev,Ste,Can,4407,10,440.7,Ste Lev,2,33.6,2
11-Can7LevSte-B7,B7,Lev,Ste,Can,4407,10,440.7,Ste Lev,4,21.5,4
11-Can7LevSte-B7,B7,Lev,Ste,Can,4407,10,440.7,Ste Lev,7,31.466666666666658,7
11-Can7LevSte-B7,B7,Lev,Ste,Can,4407,10,440.7,Ste Lev,9,56.19999999999999,9
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,5970,10,597,Ste Lev,11,48.900000000000034,11
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,5970,10,597,Ste Lev,14,61,14
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,5970,10,597,Ste Lev,16,0.049999999999954525,16
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,5970,10,597,Ste Lev,18,-13.850000000000023,18
