Identity,Bloc,Trt,Wound,Strain,Time,Initial_Mass,Initial_Number,Initial_Mean,Mean,group,Mort_Acc,Times,Biomass
10-Gre1ConNon-B1,B1,Con,Non,Gre,9,5136,10,513.6,960.9,Gre Non,0,9,9609
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,0,6582,9,731.3333333333334,731.3333333333334,Gre Ser,0,0,7313.333333333334
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,11,6582,9,731.3333333333334,987.6666666666666,Gre Ser,1,11,8889
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,14,6582,9,731.3333333333334,1120.7777777777778,Gre Ser,1,14,10087
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,16,6582,9,731.3333333333334,1186.7777777777778,Gre Ser,1,16,10681
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,18,6582,9,731.3333333333334,1021.9,Gre Ser,0,18,10219
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,2,6582,9,731.3333333333334,750,Gre Ser,0,2,7500
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,4,6582,9,731.3333333333334,784.7,Gre Ser,0,4,7847
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,7,6582,9,731.3333333333334,834.2,Gre Ser,0,7,8342
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,9,6582,9,731.3333333333334,895.7777777777778,Gre Ser,1,9,8062
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,0,6412,10,641.2,641.2,Gre Ser,0,0,6412
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,11,6412,10,641.2,1016.2,Gre Ser,0,11,10162
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,14,6412,10,641.2,1111.4,Gre Ser,0,14,11114
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,16,6412,10,641.2,1206.9,Gre Ser,0,16,12069
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,18,6412,10,641.2,1221.6,Gre Ser,0,18,12216
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,2,6412,10,641.2,707.2,Gre Ser,0,2,7072
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,4,6412,10,641.2,724.4,Gre Ser,0,4,7244
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,7,6412,10,641.2,785.8,Gre Ser,0,7,7858
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,9,6412,10,641.2,933.3,Gre Ser,0,9,9333
10-Gre5ConSte-B5,B5,Con,Ste,Gre,0,4069,10,406.9,406.9,Gre Ste,0,0,4069
10-Gre5ConSte-B5,B5,Con,Ste,Gre,11,4069,10,406.9,995.3,Gre Ste,0,11,9953
10-Gre5ConSte-B5,B5,Con,Ste,Gre,14,4069,10,406.9,1075.3,Gre Ste,0,14,10753
10-Gre5ConSte-B5,B5,Con,Ste,Gre,16,4069,10,406.9,1142.7,Gre Ste,0,16,11427
10-Gre5ConSte-B5,B5,Con,Ste,Gre,18,4069,10,406.9,1178,Gre Ste,0,18,11780
10-Gre5ConSte-B5,B5,Con,Ste,Gre,2,4069,10,406.9,578.6,Gre Ste,0,2,5786
10-Gre5ConSte-B5,B5,Con,Ste,Gre,4,4069,10,406.9,608.4,Gre Ste,0,4,6084
10-Gre5ConSte-B5,B5,Con,Ste,Gre,7,4069,10,406.9,627.2,Gre Ste,0,7,6272
10-Gre5ConSte-B5,B5,Con,Ste,Gre,9,4069,10,406.9,864.6,Gre Ste,0,9,8646
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,0,6575,10,657.5,657.5,Gre Ser,0,0,6575
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,11,6575,10,657.5,970,Gre Ser,1,11,8730
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,14,6575,10,657.5,1061.5555555555557,Gre Ser,1,14,9554
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,16,6575,10,657.5,1167.375,Gre Ser,2,16,9339
