Identity,Bloc,Trt,Wound,Strain,Day,Initial_Mass,Mass,Initial_Number,Number,Mean,Survival,True_Mass
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,18,6575,7728,10,7,1104,8,8832
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,2,6575,7348,10,10,734.8,10,7348
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,4,6575,7525,10,10,752.5,10,7525
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,7,6575,7381,10,10,738.1,10,7381
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,9,6575,8527,10,10,852.7,10,8527
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,11,5161,9365,10,10,936.5,10,9365
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,14,5161,12092,10,10,1209.2,10,12092
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,16,5161,12427,10,10,1242.7,10,12427
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,18,5161,12362,10,10,1236.2,10,12362
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,2,5161,6160,10,10,616,10,6160
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,4,5161,7122,10,10,712.2,10,7122
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,7,5161,7849,10,10,784.9,10,7849
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,9,5161,8587,10,10,858.7,10,8587
10-Ita9BacNon-B9,B9,Bac,Non,Ita,11,5245,9999,10,10,999.9,10,9999
10-Ita9BacNon-B9,B9,Bac,Non,Ita,14,5245,12094,10,10,1209.4,10,12094
10-Ita9BacNon-B9,B9,Bac,Non,Ita,16,5245,11149,10,9,1238.7777777777778,10,12387.777777777777
10-Ita9BacNon-B9,B9,Bac,Non,Ita,18,5245,11361,10,9,1262.3333333333333,10,12623.333333333332
10-Ita9BacNon-B9,B9,Bac,Non,Ita,2,5245,5715,10,10,571.5,10,5715
10-Ita9BacNon-B9,B9,Bac,Non,Ita,4,5245,6739,10,10,673.9,10,6739
10-Ita9BacNon-B9,B9,Bac,Non,Ita,7,5245,7910,10,10,791,10,7910
10-Ita9BacNon-B9,B9,Bac,Non,Ita,9,5245,9123,10,10,912.3,10,9123
11-Can2LevSer-B2,B2,Lev,Ser,Can,11,5956,8670,10,8,1083.75,8,8670
11-Can2LevSer-B2,B2,Lev,Ser,Can,14,5956,9355,10,8,1169.375,8,9355
11-Can2LevSer-B2,B2,Lev,Ser,Can,16,5956,8439,10,7,1205.5714285714287,8,9644.57142857143
11-Can2LevSer-B2,B2,Lev,Ser,Can,18,5956,8317,10,7,1188.142857142857,8,9505.142857142857
11-Can2LevSer-B2,B2,Lev,Ser,Can,2,5956,6091,10,9,676.7777777777778,9,6091
11-Can2LevSer-B2,B2,Lev,Ser,Can,4,5956,6542,10,8,817.75,8,6542
11-Can2LevSer-B2,B2,Lev,Ser,Can,7,5956,7226,10,8,903.25,8,7226
11-Can2LevSer-B2,B2,Lev,Ser,Can,9,5956,7897,10,8,987.125,8,7897
11-Can7LevSte-B7,B7,Lev,Ste,Can,11,4407,8315,10,10,831.5,10,8315
11-Can7LevSte-B7,B7,Lev,Ste,Can,14,4407,10483,10,10,1048.3,10,10483
11-Can7LevSte-B7,B7,Lev,Ste,Can,16,4407,10946,10,10,1094.6,10,10946
11-Can7LevSte-B7,B7,Lev,Ste,Can,18,4407,10813,10,10,1081.3,10,10813
11-Can7LevSte-B7,B7,Lev,Ste,Can,2,4407,5415,10,10,541.5,10,5415
11-Can7LevSte-B7,B7,Lev,Ste,Can,4,4407,5845,10,10,584.5,10,5845
11-Can7LevSte-B7,B7,Lev,Ste,Can,7,4407,6789,10,10,678.9,10,6789
11-Can7LevSte-B7,B7,Lev,Ste,Can,9,4407,7913,10,10,791.3,10,7913
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,11,5970,9602,10,10,960.2,10,9602
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,14,5970,11432,10,10,1143.2,10,11432
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,16,5970,11433,10,10,1143.3,10,11433
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,18,5970,11156,10,10,1115.6,10,11156
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,2,5970,7203,10,10,720.3,10,7203
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,4,5970,7785,10,10,778.5,10,7785
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,7,5970,7713,10,10,771.3,10,7713
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,9,5970,8624,10,10,862.4,10,8624
11-Gre9BacNon-B9,B9,Bac,Non,Gre,11,4454,10256,10,10,1025.6,10,10256
11-Gre9BacNon-B9,B9,Bac,Non,Gre,14,4454,12197,10,10,1219.7,10,12197
11-Gre9BacNon-B9,B9,Bac,Non,Gre,16,4454,13341,10,10,1334.1,10,13341
11-Gre9BacNon-B9,B9,Bac,Non,Gre,18,4454,12284,10,9,1364.888888888889,10,13648.888888888889
11-Gre9BacNon-B9,B9,Bac,Non,Gre,2,4454,6028,10,10,602.8,10,6028
11-Gre9BacNon-B9,B9,Bac,Non,Gre,4,4454,6985,10,10,698.5,10,6985
11-Gre9BacNon-B9,B9,Bac,Non,Gre,7,4454,7817,10,10,781.7,10,7817
11-Gre9BacNon-B9,B9,Bac,Non,Gre,9,4454,9590,10,10,959,10,9590
11-Ita10ConNon-B10,B10,Con,Non,Ita,11,4921,10974,10,10,1097.4,10,10974
11-Ita10ConNon-B10,B10,Con,Non,Ita,14,4921,12247,10,10,1224.7,10,12247
11-Ita10ConNon-B10,B10,Con,Non,Ita,16,4921,12982,10,10,1298.2,10,12982
11-Ita10ConNon-B10,B10,Con,Non,Ita,18,4921,13437,10,10,1343.7,10,13437
11-Ita10ConNon-B10,B10,Con,Non,Ita,2,4921,5799,10,10,579.9,10,5799
11-Ita10ConNon-B10,B10,Con,Non,Ita,4,4921,6685,10,10,668.5,10,6685
11-Ita10ConNon-B10,B10,Con,Non,Ita,7,4921,7915,10,10,791.5,10,7915
11-Ita10ConNon-B10,B10,Con,Non,Ita,9,4921,9948,10,10,994.8,10,9948
11-Ita1ConNon-B1,B1,Con,Non,Ita,11,5374,9562,10,10,956.2,10,9562
11-Ita1ConNon-B1,B1,Con,Non,Ita,14,5374,12374,10,10,1237.4,10,12374
11-Ita1ConNon-B1,B1,Con,Non,Ita,16,5374,12218,10,10,1221.8,10,12218
11-Ita1ConNon-B1,B1,Con,Non,Ita,18,5374,10707,10,9,1189.6666666666667,10,11896.666666666668
11-Ita1ConNon-B1,B1,Con,Non,Ita,2,5374,5942,10,10,594.2,10,5942
11-Ita1ConNon-B1,B1,Con,Non,Ita,4,5374,6241,10,10,624.1,10,6241
11-Ita1ConNon-B1,B1,Con,Non,Ita,7,5374,7325,10,10,732.5,10,7325
11-Ita1ConNon-B1,B1,Con,Non,Ita,9,5374,8360,10,10,836,10,8360
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,11,4595,5646,10,7,806.5714285714286,7,5646
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,14,4595,6340,10,7,905.7142857142857,7,6340
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,16,4595,6017,10,6,1002.8333333333334,6,6017
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,18,4595,6170,10,6,1028.3333333333333,6,6170
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,2,4595,4240,10,10,424,10,4240
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,4,4595,4789,10,9,532.1111111111111,9,4789
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,7,4595,4705,10,9,522.7777777777778,9,4705
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,9,4595,4799,10,7,685.5714285714286,7,4799
11-Ita5ConSte-B5,B5,Con,Ste,Ita,11,6032,10941,10,10,1094.1,10,10941
11-Ita5ConSte-B5,B5,Con,Ste,Ita,14,6032,13416,10,10,1341.6,10,13416
11-Ita5ConSte-B5,B5,Con,Ste,Ita,16,6032,13641,10,10,1364.1,10,13641
11-Ita5ConSte-B5,B5,Con,Ste,Ita,18,6032,13576,10,10,1357.6,10,13576
11-Ita5ConSte-B5,B5,Con,Ste,Ita,2,6032,6667,10,10,666.7,10,6667
11-Ita5ConSte-B5,B5,Con,Ste,Ita,4,6032,6793,10,10,679.3,10,6793
11-Ita5ConSte-B5,B5,Con,Ste,Ita,7,6032,8751,10,10,875.1,10,8751
11-Ita5ConSte-B5,B5,Con,Ste,Ita,9,6032,9833,10,10,983.3,10,9833
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,11,4783,4977,10,6,829.5,8,6636
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,14,4783,5786,10,6,964.3333333333334,8,7714.666666666667
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,16,4783,6296,10,6,1049.3333333333333,8,8394.666666666666
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,18,4783,6446,10,6,1074.3333333333333,8,8594.666666666666
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,2,4783,5038,10,10,503.8,10,5038
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,4,4783,4713,10,9,523.6666666666666,9,4713
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,7,4783,3521,10,6,586.8333333333334,8,4694.666666666667
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,9,4783,4646,10,6,774.3333333333334,8,6194.666666666667
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,11,4644,7976,10,9,886.2222222222222,9,7976
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,14,4644,9117,10,9,1013,9,9117
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,16,4644,8946,10,8,1118.25,8,8946
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,18,4644,9228,10,8,1153.5,8,9228
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,2,4644,5362,10,9,595.7777777777778,9,5362
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,4,4644,5905,10,9,656.1111111111111,9,5905
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,7,4644,6099,10,9,677.6666666666666,9,6099
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,9,4644,7040,10,9,782.2222222222222,9,7040
12-Can1ConNon-B1,B1,Con,Non,Can,11,5328,9956,10,10,995.6,10,9956
12-Can1ConNon-B1,B1,Con,Non,Can,14,5328,11201,10,10,1120.1,10,11201
12-Can1ConNon-B1,B1,Con,Non,Can,16,5328,11883,10,10,1188.3,10,11883
12-Can1ConNon-B1,B1,Con,Non,Can,18,5328,11368,10,9,1263.111111111111,10,12631.111111111111
12-Can1ConNon-B1,B1,Con,Non,Can,2,5328,6261,10,10,626.1,10,6261
12-Can1ConNon-B1,B1,Con,Non,Can,4,5328,7616,10,10,761.6,10,7616
12-Can1ConNon-B1,B1,Con,Non,Can,7,5328,8170,10,10,817,10,8170
12-Can1ConNon-B1,B1,Con,Non,Can,9,5328,9236,10,10,923.6,10,9236
12-Can3BacSer-B3,B3,Bac,Ser,Can,11,4748,7801,10,10,780.1,10,7801
12-Can3BacSer-B3,B3,Bac,Ser,Can,14,4748,9918,10,10,991.8,10,9918
12-Can3BacSer-B3,B3,Bac,Ser,Can,16,4748,10609,10,10,1060.9,10,10609
12-Can3BacSer-B3,B3,Bac,Ser,Can,18,4748,9161,10,9,1017.8888888888889,10,10178.888888888889
12-Can3BacSer-B3,B3,Bac,Ser,Can,2,4748,5583,10,10,558.3,10,5583
12-Can3BacSer-B3,B3,Bac,Ser,Can,4,4748,5874,10,10,587.4,10,5874
12-Can3BacSer-B3,B3,Bac,Ser,Can,7,4748,6740,10,10,674,10,6740
12-Can3BacSer-B3,B3,Bac,Ser,Can,9,4748,7430,10,10,743,10,7430
12-Can5ConSte-B5,B5,Con,Ste,Can,11,4157,8372,10,10,837.2,10,8372
12-Can5ConSte-B5,B5,Con,Ste,Can,14,4157,9790,10,10,979,10,9790
12-Can5ConSte-B5,B5,Con,Ste,Can,16,4157,10493,10,10,1049.3,10,10493
12-Can5ConSte-B5,B5,Con,Ste,Can,18,4157,10475,10,10,1047.5,10,10475
12-Can5ConSte-B5,B5,Con,Ste,Can,2,4157,4496,10,10,449.6,10,4496
12-Can5ConSte-B5,B5,Con,Ste,Can,4,4157,5287,10,10,528.7,10,5287
12-Can5ConSte-B5,B5,Con,Ste,Can,7,4157,6601,10,10,660.1,10,6601
12-Can5ConSte-B5,B5,Con,Ste,Can,9,4157,7187,10,10,718.7,10,7187
12-Can8BacSer-B8,B8,Bac,Ser,Can,11,4973,7936,10,10,793.6,10,7936
12-Can8BacSer-B8,B8,Bac,Ser,Can,14,4973,8462,10,10,846.2,10,8462
12-Can8BacSer-B8,B8,Bac,Ser,Can,16,4973,8725,10,9,969.4444444444445,9,8725
12-Can8BacSer-B8,B8,Bac,Ser,Can,18,4973,8589,10,9,954.3333333333334,9,8589
12-Can8BacSer-B8,B8,Bac,Ser,Can,2,4973,5683,10,10,568.3,10,5683
12-Can8BacSer-B8,B8,Bac,Ser,Can,4,4973,6359,10,10,635.9,10,6359
12-Can8BacSer-B8,B8,Bac,Ser,Can,7,4973,6372,10,10,637.2,10,6372
12-Can8BacSer-B8,B8,Bac,Ser,Can,9,4973,6956,10,10,695.6,10,6956
12-Can9BacNon-B9,B9,Bac,Non,Can,11,4479,10262,10,10,1026.2,10,10262
12-Can9BacNon-B9,B9,Bac,Non,Can,14,4479,11731,10,10,1173.1,10,11731
12-Can9BacNon-B9,B9,Bac,Non,Can,16,4479,11920,10,10,1192,10,11920
12-Can9BacNon-B9,B9,Bac,Non,Can,18,4479,12250,10,10,1225,10,12250
