"","Identity","Bloc","Trt","Wound","Strain","Time","Survival","Initial_Mass","Initial_Number","Initial_Mean","group","Growth_Acc","Times","Biom_Acc"
"100","10-Can6BacSte-B6","B6","Bac","Ste","Can","18",10,4267,10,426.7,"Ste Bac",538.2,"18",5382
"101","10-Can6BacSte-B6","B6","Bac","Ste","Can","2",10,4267,10,426.7,"Ste Bac",9.90000000000003,"2",99.0000000000003
"102","10-Can6BacSte-B6","B6","Bac","Ste","Can","4",10,4267,10,426.7,"Ste Bac",45.7,"4",457
"103","10-Can6BacSte-B6","B6","Bac","Ste","Can","7",10,4267,10,426.7,"Ste Bac",210.2,"7",2102
"104","10-Can6BacSte-B6","B6","Bac","Ste","Can","9",10,4267,10,426.7,"Ste Bac",222.7,"9",2227
"105","10-Gre1ConNon-B1","B1","Con","Non","Gre","11",10,5136,10,513.6,"Non Con",553.6,"11",5536
"106","10-Gre1ConNon-B1","B1","Con","Non","Gre","14",10,5136,10,513.6,"Non Con",778.4,"14",7784
"107","10-Gre1ConNon-B1","B1","Con","Non","Gre","16",10,5136,10,513.6,"Non Con",816.7,"16",8167
"108","10-Gre1ConNon-B1","B1","Con","Non","Gre","18",10,5136,10,513.6,"Non Con",841.7,"18",8417
"109","10-Gre1ConNon-B1","B1","Con","Non","Gre","2",10,5136,10,513.6,"Non Con",127.9,"2",1279
"110","10-Gre1ConNon-B1","B1","Con","Non","Gre","4",10,5136,10,513.6,"Non Con",255.8,"4",2558
"111","10-Gre1ConNon-B1","B1","Con","Non","Gre","7",10,5136,10,513.6,"Non Con",308.7,"7",3087
"112","10-Gre1ConNon-B1","B1","Con","Non","Gre","9",10,5136,10,513.6,"Non Con",447.3,"9",4473
"113","10-Gre2LevSer-B2","B2","Lev","Ser","Gre","11",9,6582,9,731.333333333333,"Ser Lev",256.333333333333,"11",2307
"114","10-Gre2LevSer-B2","B2","Lev","Ser","Gre","14",9,6582,9,731.333333333333,"Ser Lev",389.444444444444,"14",3505
"115","10-Gre2LevSer-B2","B2","Lev","Ser","Gre","16",9,6582,9,731.333333333333,"Ser Lev",455.444444444444,"16",4099
"116","10-Gre2LevSer-B2","B2","Lev","Ser","Gre","18",10,6582,9,731.333333333333,"Ser Lev",290.566666666667,"18",2905.66666666667
"117","10-Gre2LevSer-B2","B2","Lev","Ser","Gre","2",10,6582,9,731.333333333333,"Ser Lev",18.6666666666666,"2",186.666666666666
"118","10-Gre2LevSer-B2","B2","Lev","Ser","Gre","4",10,6582,9,731.333333333333,"Ser Lev",53.3666666666667,"4",533.666666666667
"119","10-Gre2LevSer-B2","B2","Lev","Ser","Gre","7",10,6582,9,731.333333333333,"Ser Lev",102.866666666667,"7",1028.66666666667
"120","10-Gre2LevSer-B2","B2","Lev","Ser","Gre","9",9,6582,9,731.333333333333,"Ser Lev",164.444444444444,"9",1480
"121","10-Gre3BacSer-B3","B3","Bac","Ser","Gre","11",10,6412,10,641.2,"Ser Bac",375,"11",3750
"122","10-Gre3BacSer-B3","B3","Bac","Ser","Gre","14",10,6412,10,641.2,"Ser Bac",470.2,"14",4702
"123","10-Gre3BacSer-B3","B3","Bac","Ser","Gre","16",10,6412,10,641.2,"Ser Bac",565.7,"16",5657
"124","10-Gre3BacSer-B3","B3","Bac","Ser","Gre","18",10,6412,10,641.2,"Ser Bac",580.4,"18",5804
"125","10-Gre3BacSer-B3","B3","Bac","Ser","Gre","2",10,6412,10,641.2,"Ser Bac",66,"2",660
"126","10-Gre3BacSer-B3","B3","Bac","Ser","Gre","4",10,6412,10,641.2,"Ser Bac",83.1999999999999,"4",831.999999999999
"127","10-Gre3BacSer-B3","B3","Bac","Ser","Gre","7",10,6412,10,641.2,"Ser Bac",144.6,"7",1446
"128","10-Gre3BacSer-B3","B3","Bac","Ser","Gre","9",10,6412,10,641.2,"Ser Bac",292.1,"9",2921
"129","10-Gre5ConSte-B5","B5","Con","Ste","Gre","11",10,4069,10,406.9,"Ste Con",588.4,"11",5884
"130","10-Gre5ConSte-B5","B5","Con","Ste","Gre","14",10,4069,10,406.9,"Ste Con",668.4,"14",6684
"131","10-Gre5ConSte-B5","B5","Con","Ste","Gre","16",10,4069,10,406.9,"Ste Con",735.8,"16",7358
"132","10-Gre5ConSte-B5","B5","Con","Ste","Gre","18",10,4069,10,406.9,"Ste Con",771.1,"18",7711
"133","10-Gre5ConSte-B5","B5","Con","Ste","Gre","2",10,4069,10,406.9,"Ste Con",171.7,"2",1717
"134","10-Gre5ConSte-B5","B5","Con","Ste","Gre","4",10,4069,10,406.9,"Ste Con",201.5,"4",2015
"135","10-Gre5ConSte-B5","B5","Con","Ste","Gre","7",10,4069,10,406.9,"Ste Con",220.3,"7",2203
"136","10-Gre5ConSte-B5","B5","Con","Ste","Gre","9",10,4069,10,406.9,"Ste Con",457.7,"9",4577
"137","10-Gre8BacSer-B8","B8","Bac","Ser","Gre","11",9,6575,10,657.5,"Ser Bac",312.5,"11",2812.5
"138","10-Gre8BacSer-B8","B8","Bac","Ser","Gre","14",9,6575,10,657.5,"Ser Bac",404.055555555556,"14",3636.5
"139","10-Gre8BacSer-B8","B8","Bac","Ser","Gre","16",8,6575,10,657.5,"Ser Bac",509.875,"16",4079
"140","10-Gre8BacSer-B8","B8","Bac","Ser","Gre","18",8,6575,10,657.5,"Ser Bac",446.5,"18",3572
"141","10-Gre8BacSer-B8","B8","Bac","Ser","Gre","2",10,6575,10,657.5,"Ser Bac",77.3,"2",773
"142","10-Gre8BacSer-B8","B8","Bac","Ser","Gre","4",10,6575,10,657.5,"Ser Bac",95,"4",950
"143","10-Gre8BacSer-B8","B8","Bac","Ser","Gre","7",10,6575,10,657.5,"Ser Bac",80.6,"7",806
"144","10-Gre8BacSer-B8","B8","Bac","Ser","Gre","9",10,6575,10,657.5,"Ser Bac",195.2,"9",1952
"145","10-Ita7LevSte-B7","B7","Lev","Ste","Ita","11",10,5161,10,516.1,"Ste Lev",420.4,"11",4204
"146","10-Ita7LevSte-B7","B7","Lev","Ste","Ita","14",10,5161,10,516.1,"Ste Lev",693.1,"14",6931
"147","10-Ita7LevSte-B7","B7","Lev","Ste","Ita","16",10,5161,10,516.1,"Ste Lev",726.6,"16",7266
"148","10-Ita7LevSte-B7","B7","Lev","Ste","Ita","18",10,5161,10,516.1,"Ste Lev",720.1,"18",7201
"149","10-Ita7LevSte-B7","B7","Lev","Ste","Ita","2",10,5161,10,516.1,"Ste Lev",99.9,"2",999
"150","10-Ita7LevSte-B7","B7","Lev","Ste","Ita","4",10,5161,10,516.1,"Ste Lev",196.1,"4",1961
"151","10-Ita7LevSte-B7","B7","Lev","Ste","Ita","7",10,5161,10,516.1,"Ste Lev",268.8,"7",2688
"152","10-Ita7LevSte-B7","B7","Lev","Ste","Ita","9",10,5161,10,516.1,"Ste Lev",342.6,"9",3426
"153","10-Ita9BacNon-B9","B9","Bac","Non","Ita","11",10,5245,10,524.5,"Non Bac",475.4,"11",4754
