"","Identity","Bloc","Trt","Wound","Strain","Initial_Mass","Initial_Number","Initial_Mean","group","Time","Growth_Rate","Times"
"155","10-Ita9BacNon-B9","B9","Bac","Non","Ita",5245,10,524.5,"Non Bac",16,14.6888888888889,"16"
"156","10-Ita9BacNon-B9","B9","Bac","Non","Ita",5245,10,524.5,"Non Bac",18,11.7777777777777,"18"
"157","10-Ita9BacNon-B9","B9","Bac","Non","Ita",5245,10,524.5,"Non Bac",2,15.6666666666667,"2"
"158","10-Ita9BacNon-B9","B9","Bac","Non","Ita",5245,10,524.5,"Non Bac",4,51.2,"4"
"159","10-Ita9BacNon-B9","B9","Bac","Non","Ita",5245,10,524.5,"Non Bac",7,39.0333333333333,"7"
"160","10-Ita9BacNon-B9","B9","Bac","Non","Ita",5245,10,524.5,"Non Bac",9,60.65,"9"
"161","11-Can2LevSer-B2","B2","Lev","Ser","Can",5956,10,595.6,"Ser Lev",11,48.3125,"11"
"162","11-Can2LevSer-B2","B2","Lev","Ser","Can",5956,10,595.6,"Ser Lev",14,28.5416666666667,"14"
"163","11-Can2LevSer-B2","B2","Lev","Ser","Can",5956,10,595.6,"Ser Lev",16,18.0982142857143,"16"
"164","11-Can2LevSer-B2","B2","Lev","Ser","Can",5956,10,595.6,"Ser Lev",18,-8.71428571428578,"18"
"165","11-Can2LevSer-B2","B2","Lev","Ser","Can",5956,10,595.6,"Ser Lev",2,27.0592592592593,"2"
"166","11-Can2LevSer-B2","B2","Lev","Ser","Can",5956,10,595.6,"Ser Lev",4,70.4861111111111,"4"
"167","11-Can2LevSer-B2","B2","Lev","Ser","Can",5956,10,595.6,"Ser Lev",7,28.5,"7"
"168","11-Can2LevSer-B2","B2","Lev","Ser","Can",5956,10,595.6,"Ser Lev",9,41.9375,"9"
"169","11-Can7LevSte-B7","B7","Lev","Ste","Can",4407,10,440.7,"Ste Lev",11,20.1,"11"
"170","11-Can7LevSte-B7","B7","Lev","Ste","Can",4407,10,440.7,"Ste Lev",14,72.2666666666667,"14"
"171","11-Can7LevSte-B7","B7","Lev","Ste","Can",4407,10,440.7,"Ste Lev",16,23.15,"16"
"172","11-Can7LevSte-B7","B7","Lev","Ste","Can",4407,10,440.7,"Ste Lev",18,-6.64999999999998,"18"
"173","11-Can7LevSte-B7","B7","Lev","Ste","Can",4407,10,440.7,"Ste Lev",2,33.6,"2"
"174","11-Can7LevSte-B7","B7","Lev","Ste","Can",4407,10,440.7,"Ste Lev",4,21.5,"4"
"175","11-Can7LevSte-B7","B7","Lev","Ste","Can",4407,10,440.7,"Ste Lev",7,31.4666666666667,"7"
"176","11-Can7LevSte-B7","B7","Lev","Ste","Can",4407,10,440.7,"Ste Lev",9,56.2,"9"
"177","11-Gre4LevSte-B4","B4","Lev","Ste","Gre",5970,10,597,"Ste Lev",11,48.9,"11"
"178","11-Gre4LevSte-B4","B4","Lev","Ste","Gre",5970,10,597,"Ste Lev",14,61,"14"
"179","11-Gre4LevSte-B4","B4","Lev","Ste","Gre",5970,10,597,"Ste Lev",16,0.0499999999999545,"16"
"180","11-Gre4LevSte-B4","B4","Lev","Ste","Gre",5970,10,597,"Ste Lev",18,-13.85,"18"
"181","11-Gre4LevSte-B4","B4","Lev","Ste","Gre",5970,10,597,"Ste Lev",2,41.1,"2"
"182","11-Gre4LevSte-B4","B4","Lev","Ste","Gre",5970,10,597,"Ste Lev",4,29.1,"4"
"183","11-Gre4LevSte-B4","B4","Lev","Ste","Gre",5970,10,597,"Ste Lev",7,-2.40000000000002,"7"
"184","11-Gre4LevSte-B4","B4","Lev","Ste","Gre",5970,10,597,"Ste Lev",9,45.55,"9"
"185","11-Gre9BacNon-B9","B9","Bac","Non","Gre",4454,10,445.4,"Non Bac",11,33.3,"11"
"186","11-Gre9BacNon-B9","B9","Bac","Non","Gre",4454,10,445.4,"Non Bac",14,64.7,"14"
"187","11-Gre9BacNon-B9","B9","Bac","Non","Gre",4454,10,445.4,"Non Bac",16,57.1999999999999,"16"
"188","11-Gre9BacNon-B9","B9","Bac","Non","Gre",4454,10,445.4,"Non Bac",18,15.3944444444445,"18"
"189","11-Gre9BacNon-B9","B9","Bac","Non","Gre",4454,10,445.4,"Non Bac",2,52.4666666666667,"2"
"190","11-Gre9BacNon-B9","B9","Bac","Non","Gre",4454,10,445.4,"Non Bac",4,47.85,"4"
"191","11-Gre9BacNon-B9","B9","Bac","Non","Gre",4454,10,445.4,"Non Bac",7,27.7333333333333,"7"
"192","11-Gre9BacNon-B9","B9","Bac","Non","Gre",4454,10,445.4,"Non Bac",9,88.65,"9"
"193","11-Ita10ConNon-B10","B10","Con","Non","Ita",4921,10,492.1,"Non Con",11,51.3000000000001,"11"
"194","11-Ita10ConNon-B10","B10","Con","Non","Ita",4921,10,492.1,"Non Con",14,42.4333333333333,"14"
"195","11-Ita10ConNon-B10","B10","Con","Non","Ita",4921,10,492.1,"Non Con",16,36.75,"16"
"196","11-Ita10ConNon-B10","B10","Con","Non","Ita",4921,10,492.1,"Non Con",18,22.75,"18"
"197","11-Ita10ConNon-B10","B10","Con","Non","Ita",4921,10,492.1,"Non Con",2,29.2666666666667,"2"
"198","11-Ita10ConNon-B10","B10","Con","Non","Ita",4921,10,492.1,"Non Con",4,44.3,"4"
"199","11-Ita10ConNon-B10","B10","Con","Non","Ita",4921,10,492.1,"Non Con",7,41,"7"
"200","11-Ita10ConNon-B10","B10","Con","Non","Ita",4921,10,492.1,"Non Con",9,101.65,"9"
"201","11-Ita1ConNon-B1","B1","Con","Non","Ita",5374,10,537.4,"Non Con",11,60.1,"11"
"202","11-Ita1ConNon-B1","B1","Con","Non","Ita",5374,10,537.4,"Non Con",14,93.7333333333333,"14"
"203","11-Ita1ConNon-B1","B1","Con","Non","Ita",5374,10,537.4,"Non Con",16,-7.80000000000007,"16"
"204","11-Ita1ConNon-B1","B1","Con","Non","Ita",5374,10,537.4,"Non Con",18,-16.0666666666666,"18"
"205","11-Ita1ConNon-B1","B1","Con","Non","Ita",5374,10,537.4,"Non Con",2,18.9333333333334,"2"
"206","11-Ita1ConNon-B1","B1","Con","Non","Ita",5374,10,537.4,"Non Con",4,14.95,"4"
"207","11-Ita1ConNon-B1","B1","Con","Non","Ita",5374,10,537.4,"Non Con",7,36.1333333333333,"7"
"208","11-Ita1ConNon-B1","B1","Con","Non","Ita",5374,10,537.4,"Non Con",9,51.75,"9"
"209","11-Ita3BacSer-B3","B3","Bac","Ser","Ita",4595,10,459.5,"Ser Bac",11,60.5,"11"
"210","11-Ita3BacSer-B3","B3","Bac","Ser","Ita",4595,10,459.5,"Ser Bac",14,33.047619047619,"14"
"211","11-Ita3BacSer-B3","B3","Bac","Ser","Ita",4595,10,459.5,"Ser Bac",16,48.5595238095239,"16"
"212","11-Ita3BacSer-B3","B3","Bac","Ser","Ita",4595,10,459.5,"Ser Bac",18,12.7499999999999,"18"
"213","11-Ita3BacSer-B3","B3","Bac","Ser","Ita",4595,10,459.5,"Ser Bac",2,-11.8333333333333,"2"
"214","11-Ita3BacSer-B3","B3","Bac","Ser","Ita",4595,10,459.5,"Ser Bac",4,54.0555555555555,"4"
"215","11-Ita3BacSer-B3","B3","Bac","Ser","Ita",4595,10,459.5,"Ser Bac",7,-3.11111111111109,"7"
"216","11-Ita3BacSer-B3","B3","Bac","Ser","Ita",4595,10,459.5,"Ser Bac",9,81.3968253968254,"9"
"217","11-Ita5ConSte-B5","B5","Con","Ste","Ita",6032,10,603.2,"Ste Con",11,55.4,"11"
"218","11-Ita5ConSte-B5","B5","Con","Ste","Ita",6032,10,603.2,"Ste Con",14,82.5,"14"
"219","11-Ita5ConSte-B5","B5","Con","Ste","Ita",6032,10,603.2,"Ste Con",16,11.25,"16"
"220","11-Ita5ConSte-B5","B5","Con","Ste","Ita",6032,10,603.2,"Ste Con",18,-3.25,"18"
"221","11-Ita5ConSte-B5","B5","Con","Ste","Ita",6032,10,603.2,"Ste Con",2,21.1666666666667,"2"
"222","11-Ita5ConSte-B5","B5","Con","Ste","Ita",6032,10,603.2,"Ste Con",4,6.29999999999995,"4"
"223","11-Ita5ConSte-B5","B5","Con","Ste","Ita",6032,10,603.2,"Ste Con",7,65.2666666666667,"7"
"224","11-Ita5ConSte-B5","B5","Con","Ste","Ita",6032,10,603.2,"Ste Con",9,54.1,"9"
"225","11-Ita6BacSte-B6","B6","Bac","Ste","Ita",4783,10,478.3,"Ste Bac",11,27.5833333333333,"11"
"226","11-Ita6BacSte-B6","B6","Bac","Ste","Ita",4783,10,478.3,"Ste Bac",14,44.9444444444445,"14"
"227","11-Ita6BacSte-B6","B6","Bac","Ste","Ita",4783,10,478.3,"Ste Bac",16,42.4999999999999,"16"
"228","11-Ita6BacSte-B6","B6","Bac","Ste","Ita",4783,10,478.3,"Ste Bac",18,12.5,"18"
"229","11-Ita6BacSte-B6","B6","Bac","Ste","Ita",4783,10,478.3,"Ste Bac",2,8.5,"2"
"230","11-Ita6BacSte-B6","B6","Bac","Ste","Ita",4783,10,478.3,"Ste Bac",4,9.93333333333331,"4"
"231","11-Ita6BacSte-B6","B6","Bac","Ste","Ita",4783,10,478.3,"Ste Bac",7,21.0555555555556,"7"
