"","Identity","Bloc","Trt","Wound","Strain","Initial_Mass","Initial_Number","Initial_Mean","group","Time","Growth_Acc","Times"
"133","10-Gre5ConSte-B5","B5","Con","Ste","Gre",4069,10,406.9,"Ste Con",2,171.7,"2"
"134","10-Gre5ConSte-B5","B5","Con","Ste","Gre",4069,10,406.9,"Ste Con",4,201.5,"4"
"135","10-Gre5ConSte-B5","B5","Con","Ste","Gre",4069,10,406.9,"Ste Con",7,220.3,"7"
"136","10-Gre5ConSte-B5","B5","Con","Ste","Gre",4069,10,406.9,"Ste Con",9,457.7,"9"
"137","10-Gre8BacSer-B8","B8","Bac","Ser","Gre",6575,10,657.5,"Ser Bac",11,312.5,"11"
"138","10-Gre8BacSer-B8","B8","Bac","Ser","Gre",6575,10,657.5,"Ser Bac",14,404.055555555556,"14"
"139","10-Gre8BacSer-B8","B8","Bac","Ser","Gre",6575,10,657.5,"Ser Bac",16,509.875,"16"
"140","10-Gre8BacSer-B8","B8","Bac","Ser","Gre",6575,10,657.5,"Ser Bac",18,446.5,"18"
"141","10-Gre8BacSer-B8","B8","Bac","Ser","Gre",6575,10,657.5,"Ser Bac",2,77.3,"2"
"142","10-Gre8BacSer-B8","B8","Bac","Ser","Gre",6575,10,657.5,"Ser Bac",4,95,"4"
"143","10-Gre8BacSer-B8","B8","Bac","Ser","Gre",6575,10,657.5,"Ser Bac",7,80.6,"7"
"144","10-Gre8BacSer-B8","B8","Bac","Ser","Gre",6575,10,657.5,"Ser Bac",9,195.2,"9"
"145","10-Ita7LevSte-B7","B7","Lev","Ste","Ita",5161,10,516.1,"Ste Lev",11,420.4,"11"
"146","10-Ita7LevSte-B7","B7","Lev","Ste","Ita",5161,10,516.1,"Ste Lev",14,693.1,"14"
"147","10-Ita7LevSte-B7","B7","Lev","Ste","Ita",5161,10,516.1,"Ste Lev",16,726.6,"16"
"148","10-Ita7LevSte-B7","B7","Lev","Ste","Ita",5161,10,516.1,"Ste Lev",18,720.1,"18"
"149","10-Ita7LevSte-B7","B7","Lev","Ste","Ita",5161,10,516.1,"Ste Lev",2,99.9,"2"
"150","10-Ita7LevSte-B7","B7","Lev","Ste","Ita",5161,10,516.1,"Ste Lev",4,196.1,"4"
