"","Identity","Bloc","Trt","Wound","Strain","group","Time","Mort_Acc","Times"
"246","1-Gre2ConNon-B2","B2","Con","Non","Gre","Gre Non",4,0,"4"
"247","1-Gre2ConNon-B2","B2","Con","Non","Gre","Gre Non",7,0,"7"
"248","1-Gre2ConNon-B2","B2","Con","Non","Gre","Gre Non",9,0,"9"
"249","1-Gre2ConNon-B2","B2","Con","Non","Gre","Gre Non",11,0,"11"
"250","1-Gre2ConNon-B2","B2","Con","Non","Gre","Gre Non",14,0,"14"
"251","1-Gre2ConNon-B2","B2","Con","Non","Gre","Gre Non",16,0,"16"
"252","1-Gre2ConNon-B2","B2","Con","Non","Gre","Gre Non",18,0,"18"
"253","2-Ita2ConNon-B2","B2","Con","Non","Ita","Ita Non",0,0,"0"
"254","2-Ita2ConNon-B2","B2","Con","Non","Ita","Ita Non",2,0,"2"
"255","2-Ita2ConNon-B2","B2","Con","Non","Ita","Ita Non",4,0,"4"
"256","2-Ita2ConNon-B2","B2","Con","Non","Ita","Ita Non",7,0,"7"
"257","2-Ita2ConNon-B2","B2","Con","Non","Ita","Ita Non",9,0,"9"
"258","2-Ita2ConNon-B2","B2","Con","Non","Ita","Ita Non",11,0,"11"
"259","2-Ita2ConNon-B2","B2","Con","Non","Ita","Ita Non",14,0,"14"
"260","2-Ita2ConNon-B2","B2","Con","Non","Ita","Ita Non",16,0,"16"
"261","2-Ita2ConNon-B2","B2","Con","Non","Ita","Ita Non",18,0,"18"
"262","3-Can2ConNon-B2","B2","Con","Non","Can","Can Non",0,0,"0"
"263","3-Can2ConNon-B2","B2","Con","Non","Can","Can Non",2,0,"2"
"264","3-Can2ConNon-B2","B2","Con","Non","Can","Can Non",4,0,"4"
"265","3-Can2ConNon-B2","B2","Con","Non","Can","Can Non",7,0,"7"
"266","3-Can2ConNon-B2","B2","Con","Non","Can","Can Non",9,0,"9"
"267","3-Can2ConNon-B2","B2","Con","Non","Can","Can Non",11,0,"11"
"268","3-Can2ConNon-B2","B2","Con","Non","Can","Can Non",14,0,"14"
"269","3-Can2ConNon-B2","B2","Con","Non","Can","Can Non",16,0,"16"
"270","3-Can2ConNon-B2","B2","Con","Non","Can","Can Non",18,0,"18"
"271","4-Ita2LevNon-B2","B2","Lev","Non","Ita","Ita Non",0,0,"0"
"272","4-Ita2LevNon-B2","B2","Lev","Non","Ita","Ita Non",2,0,"2"
"273","4-Ita2LevNon-B2","B2","Lev","Non","Ita","Ita Non",4,0,"4"
"274","4-Ita2LevNon-B2","B2","Lev","Non","Ita","Ita Non",7,0,"7"
"275","4-Ita2LevNon-B2","B2","Lev","Non","Ita","Ita Non",9,0,"9"
"276","4-Ita2LevNon-B2","B2","Lev","Non","Ita","Ita Non",11,0,"11"
"277","4-Ita2LevNon-B2","B2","Lev","Non","Ita","Ita Non",14,1,"14"
"278","4-Ita2LevNon-B2","B2","Lev","Non","Ita","Ita Non",16,1,"16"
"279","4-Ita2LevNon-B2","B2","Lev","Non","Ita","Ita Non",18,0,"18"
"280","5-Can2LevNon-B2","B2","Lev","Non","Can","Can Non",0,0,"0"
"281","5-Can2LevNon-B2","B2","Lev","Non","Can","Can Non",2,0,"2"
"282","5-Can2LevNon-B2","B2","Lev","Non","Can","Can Non",4,0,"4"
"283","5-Can2LevNon-B2","B2","Lev","Non","Can","Can Non",7,0,"7"
"284","5-Can2LevNon-B2","B2","Lev","Non","Can","Can Non",9,0,"9"
"285","5-Can2LevNon-B2","B2","Lev","Non","Can","Can Non",11,0,"11"
"286","5-Can2LevNon-B2","B2","Lev","Non","Can","Can Non",14,0,"14"
"287","5-Can2LevNon-B2","B2","Lev","Non","Can","Can Non",16,0,"16"
"288","5-Can2LevNon-B2","B2","Lev","Non","Can","Can Non",18,0,"18"
"289","6-Gre2LevNon-B2","B2","Lev","Non","Gre","Gre Non",0,0,"0"
"290","6-Gre2LevNon-B2","B2","Lev","Non","Gre","Gre Non",2,0,"2"
"291","6-Gre2LevNon-B2","B2","Lev","Non","Gre","Gre Non",4,0,"4"
"292","6-Gre2LevNon-B2","B2","Lev","Non","Gre","Gre Non",7,0,"7"
"293","6-Gre2LevNon-B2","B2","Lev","Non","Gre","Gre Non",9,0,"9"
"294","6-Gre2LevNon-B2","B2","Lev","Non","Gre","Gre Non",11,0,"11"
