Rep,Bloc,Trt,Strain,Time,Survival,Mortality
EspB7,B7,B,Esp,5,8,20
EspB7,B7,B,Esp,6,8,20
EspB7,B7,B,Esp,7,8,20
EspB7,B7,B,Esp,8,8,20
EspB7,B7,B,Esp,9,8,20
EspB7,B7,B,Esp,10,8,20
EspB7,B7,B,Esp,11,8,20
EspB7,B7,B,Esp,12,8,20
EspB7,B7,B,Esp,13,8,20
EspB7,B7,B,Esp,14,8,20
EspB7,B7,B,Esp,0,10,0
EspB8,B8,B,Esp,1,8,20
EspB8,B8,B,Esp,2,7,30
EspB8,B8,B,Esp,3,7,30
EspB8,B8,B,Esp,4,7,30
EspB8,B8,B,Esp,5,7,30
EspB8,B8,B,Esp,6,6,40
EspB8,B8,B,Esp,7,6,40
EspB8,B8,B,Esp,8,6,40
EspB8,B8,B,Esp,9,5,50
EspB8,B8,B,Esp,10,3,70
EspB8,B8,B,Esp,11,3,70
EspB8,B8,B,Esp,12,3,70
EspB8,B8,B,Esp,13,3,70
EspB8,B8,B,Esp,14,3,70
EspB8,B8,B,Esp,0,10,0
EspB9,B9,B,Esp,1,6,40
EspB9,B9,B,Esp,2,6,40
EspB9,B9,B,Esp,3,6,40
EspB9,B9,B,Esp,4,5,50
EspB9,B9,B,Esp,5,5,50
EspB9,B9,B,Esp,6,5,50
EspB9,B9,B,Esp,7,5,50
EspB9,B9,B,Esp,8,5,50
EspB9,B9,B,Esp,9,5,50
EspB9,B9,B,Esp,10,5,50
EspB9,B9,B,Esp,11,4,60
EspB9,B9,B,Esp,12,3,70
EspB9,B9,B,Esp,13,3,70
EspB9,B9,B,Esp,14,3,70
EspB9,B9,B,Esp,0,10,0
EspC1,B1,C,Esp,1,10,0
EspC1,B1,C,Esp,2,10,0
EspC1,B1,C,Esp,3,10,0
EspC1,B1,C,Esp,4,10,0
EspC1,B1,C,Esp,5,10,0
EspC1,B1,C,Esp,6,10,0
EspC1,B1,C,Esp,7,10,0
EspC1,B1,C,Esp,8,10,0
EspC1,B1,C,Esp,9,10,0
EspC1,B1,C,Esp,10,10,0
EspC1,B1,C,Esp,11,10,0
EspC1,B1,C,Esp,12,10,0
EspC1,B1,C,Esp,13,10,0
EspC1,B1,C,Esp,14,10,0
EspC1,B1,C,Esp,0,10,0
EspC10,B10,C,Esp,1,10,0
EspC10,B10,C,Esp,2,10,0
EspC10,B10,C,Esp,3,10,0
EspC10,B10,C,Esp,4,10,0
EspC10,B10,C,Esp,5,10,0
EspC10,B10,C,Esp,6,10,0
EspC10,B10,C,Esp,7,10,0
EspC10,B10,C,Esp,8,10,0
EspC10,B10,C,Esp,9,10,0
EspC10,B10,C,Esp,10,9,10
EspC10,B10,C,Esp,11,9,10
EspC10,B10,C,Esp,12,8,20
EspC10,B10,C,Esp,13,8,20
EspC10,B10,C,Esp,14,7,30
EspC10,B10,C,Esp,0,10,0
EspC2,B2,C,Esp,1,10,0
EspC2,B2,C,Esp,2,10,0
EspC2,B2,C,Esp,3,10,0
EspC2,B2,C,Esp,4,10,0
EspC2,B2,C,Esp,5,10,0
EspC2,B2,C,Esp,6,10,0
EspC2,B2,C,Esp,7,10,0
EspC2,B2,C,Esp,8,10,0
EspC2,B2,C,Esp,9,10,0
EspC2,B2,C,Esp,10,10,0
EspC2,B2,C,Esp,11,10,0
EspC2,B2,C,Esp,12,10,0
EspC2,B2,C,Esp,13,10,0
EspC2,B2,C,Esp,14,10,0
EspC2,B2,C,Esp,0,10,0
EspC3,B3,C,Esp,1,9,10
EspC3,B3,C,Esp,2,9,10
EspC3,B3,C,Esp,3,9,10
EspC3,B3,C,Esp,4,9,10
EspC3,B3,C,Esp,5,8,20
EspC3,B3,C,Esp,6,8,20
EspC3,B3,C,Esp,7,8,20
EspC3,B3,C,Esp,8,8,20
EspC3,B3,C,Esp,9,8,20
EspC3,B3,C,Esp,10,8,20
EspC3,B3,C,Esp,11,8,20
EspC3,B3,C,Esp,12,8,20
EspC3,B3,C,Esp,13,8,20
EspC3,B3,C,Esp,14,8,20
EspC3,B3,C,Esp,0,10,0
EspC4,B4,C,Esp,1,10,0
EspC4,B4,C,Esp,2,10,0
EspC4,B4,C,Esp,3,10,0
EspC4,B4,C,Esp,4,10,0
EspC4,B4,C,Esp,5,10,0
EspC4,B4,C,Esp,6,10,0
EspC4,B4,C,Esp,7,10,0
EspC4,B4,C,Esp,8,9,10
EspC4,B4,C,Esp,9,9,10
EspC4,B4,C,Esp,10,9,10
EspC4,B4,C,Esp,11,9,10
EspC4,B4,C,Esp,12,9,10
EspC4,B4,C,Esp,13,9,10
EspC4,B4,C,Esp,14,9,10
EspC4,B4,C,Esp,0,10,0
EspC5,B5,C,Esp,1,10,0
EspC5,B5,C,Esp,2,10,0
EspC5,B5,C,Esp,3,10,0
EspC5,B5,C,Esp,4,10,0
EspC5,B5,C,Esp,5,10,0
EspC5,B5,C,Esp,6,10,0
EspC5,B5,C,Esp,7,10,0
EspC5,B5,C,Esp,8,10,0
