Rep,Bloc,Trt,Strain,Time,Growth
EspB6,B6,B,Esp,13,11.5
EspB6,B6,B,Esp,14,32.700000000000045
EspB6,B6,B,Esp,2,28.400000000000034
EspB6,B6,B,Esp,3,18
EspB6,B6,B,Esp,4,15.899999999999977
EspB6,B6,B,Esp,5,12.100000000000023
EspB6,B6,B,Esp,6,15.299999999999955
EspB6,B6,B,Esp,7,22.30000000000001
EspB6,B6,B,Esp,8,45.30000000000001
EspB6,B6,B,Esp,9,37.89999999999998
EspB7,B7,B,Esp,0,0
EspB7,B7,B,Esp,1,54.377777777777766
EspB7,B7,B,Esp,10,24.25
EspB7,B7,B,Esp,11,8.125
EspB7,B7,B,Esp,12,51.25
EspB7,B7,B,Esp,13,5.5
EspB7,B7,B,Esp,14,24.125
EspB7,B7,B,Esp,2,15.222222222222229
EspB7,B7,B,Esp,3,28.125
EspB7,B7,B,Esp,4,9.875
EspB7,B7,B,Esp,5,33.625
EspB7,B7,B,Esp,6,0.375
EspB7,B7,B,Esp,7,45.625
EspB7,B7,B,Esp,8,20.125
EspB7,B7,B,Esp,9,-21.125
EspB8,B8,B,Esp,0,0
EspB8,B8,B,Esp,1,63.05000000000001
EspB8,B8,B,Esp,10,198.20000000000005
EspB8,B8,B,Esp,11,81
EspB8,B8,B,Esp,12,-12.333333333333371
EspB8,B8,B,Esp,13,42.33333333333337
EspB8,B8,B,Esp,14,27
EspB8,B8,B,Esp,2,55.678571428571445
EspB8,B8,B,Esp,3,13.285714285714278
EspB8,B8,B,Esp,4,6.14285714285711
EspB8,B8,B,Esp,5,24.428571428571445
EspB8,B8,B,Esp,6,43.04761904761904
EspB8,B8,B,Esp,7,21.33333333333337
EspB8,B8,B,Esp,8,15.666666666666629
EspB8,B8,B,Esp,9,20.46666666666664
EspB9,B9,B,Esp,0,0
EspB9,B9,B,Esp,1,65.80000000000001
EspB9,B9,B,Esp,10,-3.1999999999999886
EspB9,B9,B,Esp,11,-2.5500000000000114
EspB9,B9,B,Esp,12,65.08333333333337
EspB9,B9,B,Esp,13,-8.333333333333371
EspB9,B9,B,Esp,14,-9
EspB9,B9,B,Esp,2,20.333333333333314
EspB9,B9,B,Esp,3,17
EspB9,B9,B,Esp,4,49.76666666666671
EspB9,B9,B,Esp,5,6.399999999999977
EspB9,B9,B,Esp,6,27.399999999999977
EspB9,B9,B,Esp,7,-8.199999999999989
EspB9,B9,B,Esp,8,41.400000000000034
EspB9,B9,B,Esp,9,12.399999999999977
EspC1,B1,C,Esp,0,0
EspC1,B1,C,Esp,1,10.900000000000006
EspC1,B1,C,Esp,10,55.30000000000001
EspC1,B1,C,Esp,11,24.69999999999999
EspC1,B1,C,Esp,12,29.19999999999999
EspC1,B1,C,Esp,13,-2.599999999999966
EspC1,B1,C,Esp,14,42.30000000000001
EspC1,B1,C,Esp,2,57.19999999999999
EspC1,B1,C,Esp,3,28.600000000000023
EspC1,B1,C,Esp,4,13.5
EspC1,B1,C,Esp,5,6.5
EspC1,B1,C,Esp,6,18.5
EspC1,B1,C,Esp,7,22.099999999999966
EspC1,B1,C,Esp,8,34.5
EspC1,B1,C,Esp,9,-1
EspC10,B10,C,Esp,0,0
EspC10,B10,C,Esp,1,15.300000000000011
EspC10,B10,C,Esp,10,9.655555555555566
EspC10,B10,C,Esp,11,47.44444444444446
EspC10,B10,C,Esp,12,32.5
EspC10,B10,C,Esp,13,2.125
EspC10,B10,C,Esp,14,86.80357142857144
EspC10,B10,C,Esp,2,41.89999999999998
EspC10,B10,C,Esp,3,19.600000000000023
EspC10,B10,C,Esp,4,17.19999999999999
EspC10,B10,C,Esp,5,21.5
EspC10,B10,C,Esp,6,7.699999999999989
EspC10,B10,C,Esp,7,12.800000000000011
EspC10,B10,C,Esp,8,31
EspC10,B10,C,Esp,9,30.899999999999977
EspC2,B2,C,Esp,0,0
EspC2,B2,C,Esp,1,61.69999999999999
EspC2,B2,C,Esp,10,73.5
EspC2,B2,C,Esp,11,53.799999999999955
EspC2,B2,C,Esp,12,66.70000000000005
EspC2,B2,C,Esp,13,-4.100000000000023
EspC2,B2,C,Esp,14,40.700000000000045
EspC2,B2,C,Esp,2,13
EspC2,B2,C,Esp,3,39.30000000000001
EspC2,B2,C,Esp,4,13.300000000000011
EspC2,B2,C,Esp,5,28.099999999999966
EspC2,B2,C,Esp,6,-8
EspC2,B2,C,Esp,7,8.800000000000011
EspC2,B2,C,Esp,8,30
EspC2,B2,C,Esp,9,2.400000000000034
EspC3,B3,C,Esp,0,0
EspC3,B3,C,Esp,1,22.411111111111126
EspC3,B3,C,Esp,10,36.625
EspC3,B3,C,Esp,11,41.125
EspC3,B3,C,Esp,12,16.5
EspC3,B3,C,Esp,13,5.5
EspC3,B3,C,Esp,14,16.625
EspC3,B3,C,Esp,2,36.44444444444443
EspC3,B3,C,Esp,3,23.22222222222223
EspC3,B3,C,Esp,4,10.111111111111143
EspC3,B3,C,Esp,5,29.361111111111086
EspC3,B3,C,Esp,6,22.75
EspC3,B3,C,Esp,7,-16.25
EspC3,B3,C,Esp,8,43.25
EspC3,B3,C,Esp,9,45.625
EspC4,B4,C,Esp,0,0
EspC4,B4,C,Esp,1,48.89999999999998
EspC4,B4,C,Esp,10,62.33333333333337
EspC4,B4,C,Esp,11,-2.3333333333333712
EspC4,B4,C,Esp,12,20.666666666666742
EspC4,B4,C,Esp,13,60.33333333333326
